,Metadata_broad_sample,mean_average_precision,indices,p_value,corrected_p_value,below_p,below_corrected_p
0,BRD-A12994259-001-11-9,0.189047499341617,"[77, 162, 222, 339]",0.4046595340465953,0.44683031696830317,False,False
1,BRD-A22769835-300-05-7,0.6853506787330317,"[32, 127, 165, 348]",0.011498850114988501,0.023253230232532302,True,True
2,BRD-A53576514-048-02-8,0.17481797791580403,"[38, 67, 233, 306]",0.45595440455954406,0.486378106375409,False,False
3,BRD-A87435144-001-01-6,0.6607905982905983,"[11, 278, 335, 354]",0.0122987701229877,0.023812512365784695,True,True
4,BRD-K00818915-001-02-9,0.5802997076023391,"[72, 91, 96, 153]",0.0221977802219778,0.037407370374073705,True,True
5,BRD-K01826510-001-09-9,0.38137464387464387,"[13, 85, 254, 326]",0.1316868313168683,0.1815682068156821,False,False
6,BRD-K02965346-001-01-8,1.0,"[8, 28, 201, 319]",9.999000099990002e-05,0.00034996500349965005,True,True
7,BRD-K03063480-001-08-9,1.0,"[92, 114, 191, 261]",9.999000099990002e-05,0.00034996500349965005,True,True
8,BRD-K04923131-001-17-9,0.9513888888888888,"[101, 186, 258, 321]",0.00039996000399960006,0.0012998700129987,True,True
9,BRD-K06182768-001-02-3,0.27795177045177044,"[15, 150, 181, 330]",0.20507949205079493,0.2521923483327343,False,False
10,BRD-K06883221-001-02-9,0.17355386159733985,"[34, 219, 301, 346]",0.45965403459654036,0.486378106375409,False,False
11,BRD-K09372874-001-02-9,0.7783909327387588,"[14, 43, 115, 322]",0.0034996500349965005,0.008165850081658502,True,True
12,BRD-K12511835-003-03-9,0.8225198412698412,"[198, 218, 291, 313]",0.0017998200179982,0.00467953204679532,True,True
13,BRD-K12737986-001-01-4,0.1982682554373731,"[129, 220, 302, 349]",0.37176282371762825,0.4176594686210392,False,False
14,BRD-K13094524-001-10-9,0.7391339869281046,"[105, 185, 356, 380]",0.0058994100589941,0.013093812569962514,True,True
15,BRD-K13606314-001-02-9,0.133759065009065,"[5, 134, 202, 375]",0.6554344565543445,0.670163320746577,False,False
16,BRD-K16189898-001-26-9,0.8070779220779221,"[49, 120, 158, 179]",0.0024997500249975004,0.006318812563188126,True,True
17,BRD-K16803204-001-02-9,0.32328169515669514,"[180, 189, 262, 355]",0.1576842315768423,0.19929534824295347,False,False
18,BRD-K17953061-001-05-1,1.0,"[141, 292, 343, 376]",9.999000099990002e-05,0.00034996500349965005,True,True
19,BRD-K19477839-001-10-9,0.16643009768009767,"[1, 64, 221, 362]",0.4871512848715128,0.5095490450954904,False,False
20,BRD-K19871656-001-01-3,1.0,"[79, 98, 142, 197]",9.999000099990002e-05,0.00034996500349965005,True,True
21,BRD-K20290250-001-03-9,0.4539051226551227,"[89, 145, 194, 272]",0.06939306069393061,0.10023442100234423,False,False
22,BRD-K21728777-001-03-9,0.9083333333333333,"[22, 132, 297, 377]",0.0006999300069993001,0.0021963320909288383,True,True
23,BRD-K23383398-001-08-1,0.8480392156862745,"[70, 136, 143, 263]",0.0013998600139986002,0.0038602200386022006,True,True
24,BRD-K24600306-003-02-9,0.7808333333333334,"[41, 253, 274, 338]",0.0034996500349965005,0.008165850081658502,True,True
25,BRD-K24696047-001-03-9,1.0,"[71, 90, 93, 110]",9.999000099990002e-05,0.00034996500349965005,True,True
26,BRD-K25433859-003-03-1,0.9345238095238095,"[169, 234, 298, 307]",0.00039996000399960006,0.0012998700129987,True,True
27,BRD-K25611237-001-09-9,0.777281746031746,"[231, 255, 334, 342]",0.0037996200379962005,0.008644135586441356,True,True
