,Metadata_broad_sample,mean_average_precision,indices,p_value,corrected_p_value,below_p,below_corrected_p
0,BRD-A12994259-001-11-9,0.29446225071225074,"[77, 162, 222, 339]",0.18468153184681532,0.22113183418500254,False,False
1,BRD-A22769835-300-05-7,0.4792508417508417,"[32, 127, 165, 348]",0.052894710528947106,0.07890850259236372,False,False
2,BRD-A53576514-048-02-8,0.31987085769980506,"[38, 67, 233, 306]",0.16108389161083891,0.19808965049441002,False,False
3,BRD-A87435144-001-01-6,1.0,"[11, 278, 335, 354]",9.999000099990002e-05,0.00019780630632588916,True,True
4,BRD-K00818915-001-02-9,0.2676155969634231,"[72, 91, 96, 153]",0.22277772222777723,0.2502811447250337,False,False
5,BRD-K01826510-001-09-9,0.33746345029239766,"[13, 85, 254, 326]",0.1486851314868513,0.1932906709329067,False,False
6,BRD-K02965346-001-01-8,1.0,"[8, 28, 201, 319]",9.999000099990002e-05,0.00019780630632588916,True,True
7,BRD-K03063480-001-08-9,1.0,"[92, 114, 191, 261]",9.999000099990002e-05,0.00019780630632588916,True,True
8,BRD-K04923131-001-17-9,1.0,"[101, 186, 258, 321]",9.999000099990002e-05,0.00019780630632588916,True,True
9,BRD-K06182768-001-02-3,0.31981933371639254,"[15, 150, 181, 330]",0.16108389161083891,0.19808965049441002,False,False
10,BRD-K06883221-001-02-9,0.6796626984126983,"[34, 219, 301, 346]",0.011698830116988301,0.017743225677432257,True,True
11,BRD-K09372874-001-02-9,1.0,"[14, 43, 115, 322]",9.999000099990002e-05,0.00019780630632588916,True,True
12,BRD-K12511835-003-03-9,1.0,"[198, 218, 291, 313]",9.999000099990002e-05,0.00019780630632588916,True,True
13,BRD-K12737986-001-01-4,0.2917989417989418,"[129, 220, 302, 349]",0.18808119188081193,0.22227777222277775,False,False
14,BRD-K13094524-001-10-9,0.8875,"[105, 185, 356, 380]",0.0006999300069993001,0.0012248775122487752,True,True
15,BRD-K13606314-001-02-9,0.7805555555555556,"[5, 134, 202, 375]",0.0034996500349965005,0.005790330057903301,True,True
16,BRD-K16189898-001-26-9,1.0,"[49, 120, 158, 179]",9.999000099990002e-05,0.00019780630632588916,True,True
17,BRD-K16803204-001-02-9,0.3150836783988958,"[180, 189, 262, 355]",0.16678332166783322,0.20236376362363764,False,False
18,BRD-K17953061-001-05-1,1.0,"[141, 292, 343, 376]",9.999000099990002e-05,0.00019780630632588916,True,True
19,BRD-K19477839-001-10-9,0.1536923878196257,"[1, 64, 221, 362]",0.5478452154784521,0.5601563439161702,False,False
20,BRD-K19871656-001-01-3,1.0,"[79, 98, 142, 197]",9.999000099990002e-05,0.00019780630632588916,True,True
21,BRD-K20290250-001-03-9,0.675,"[89, 145, 194, 272]",0.011698830116988301,0.017743225677432257,True,True
22,BRD-K21728777-001-03-9,1.0,"[22, 132, 297, 377]",9.999000099990002e-05,0.00019780630632588916,True,True
23,BRD-K23383398-001-08-1,1.0,"[70, 136, 143, 263]",9.999000099990002e-05,0.00019780630632588916,True,True
24,BRD-K24600306-003-02-9,0.33325815980993323,"[41, 253, 274, 338]",0.1521847815218478,0.19505373406321339,False,False
25,BRD-K24696047-001-03-9,1.0,"[71, 90, 93, 110]",9.999000099990002e-05,0.00019780630632588916,True,True
26,BRD-K25433859-003-03-1,0.13867364117364117,"[169, 234, 298, 307]",0.6259374062593741,0.6328922663289227,False,False
27,BRD-K25611237-001-09-9,0.8377976190476191,"[231, 255, 334, 342]",0.0013998600139986002,0.002403533231582502,True,True
28,BRD-K28936863-051-14-0,0.3261078042328042,"[65, 100, 320, 369]",0.1558844115588441,0.19702057572020576,False,False
29,BRD-K30707190-001-06-9,0.2779858077340915,"[257, 281, 318, 344]",0.20507949205079493,0.23327792220777924,False,False
30,BRD-K32730239-001-03-9,0.37169289044289044,"[118, 249, 271, 360]",0.13508649135086492,0.183475682282518,False,False
31,BRD-K33818169-003-04-6,0.6833333333333333,"[193, 232, 315, 350]",0.011498850114988501,0.017743225677432257,True,True
32,BRD-K36234266-001-10-6,0.27914250101750104,"[9, 102, 226, 383]",0.20427957204279573,0.23327792220777924,False,False
33,BRD-K37379014-001-02-0,1.0,"[63, 86, 137, 208]",9.999000099990002e-05,0.00019780630632588916,True,True
34,BRD-K38627885-001-01-9,1.0,"[20, 161, 238, 273]",9.999000099990002e-05,0.00019780630632588916,True,True
35,BRD-K39520573-001-01-2,0.34424603174603174,"[60, 167, 174, 265]",0.14578542145785423,0.1932906709329067,False,False
36,BRD-K39974922-001-05-9,1.0,"[73, 97, 172, 206]",9.999000099990002e-05,0.00019780630632588916,True,True
37,BRD-K44227013-001-15-9,1.0,"[88, 103, 283, 294]",9.999000099990002e-05,0.00019780630632588916,True,True
38,BRD-K45909031-001-03-9,1.0,"[19, 31, 176, 214]",9.999000099990002e-05,0.00019780630632588916,True,True
39,BRD-K49669041-001-10-9,1.0,"[17, 47, 76, 164]",9.999000099990002e-05,0.00019780630632588916,True,True
40,BRD-K50055394-001-04-9,1.0,"[75, 168, 260, 299]",9.999000099990002e-05,0.00019780630632588916,True,True
41,BRD-K53665955-001-05-9,1.0,"[148, 205, 316, 373]",9.999000099990002e-05,0.00019780630632588916,True,True
42,BRD-K53972329-001-12-9,0.7496031746031745,"[16, 170, 177, 195]",0.005499450054994501,0.008779823772008765,True,True
43,BRD-K54759182-003-09-8,0.20601718542895014,"[2, 29, 94, 111]",0.34866513348665135,0.373276789968062,False,False
44,BRD-K54955827-001-03-9,1.0,"[212, 236, 245, 361]",9.999000099990002e-05,0.00019780630632588916,True,True
45,BRD-K56301217-001-02-5,1.0,"[27, 69, 124, 296]",9.999000099990002e-05,0.00019780630632588916,True,True
