,Metadata_broad_sample,mean_average_precision,p_value,corrected_p_value,below_p,below_corrected_p
0,BRD-A12994259-001-11-9,0.08654828458061092,0.033996600339966,0.04309430168094302,True,True
1,BRD-A22769835-300-05-7,0.17969356602290038,0.0100989901009899,0.016122949108597913,True,True
2,BRD-A53576514-048-02-8,0.020867568432055523,0.23407659234076592,0.24483873451735283,False,False
3,BRD-A87435144-001-01-6,0.2283669773110655,0.0081991800819918,0.014659645146596451,True,True
4,BRD-K00818915-001-02-9,0.2071935189724164,0.008599140085991401,0.014659645146596451,True,True
5,BRD-K01826510-001-09-9,0.15021972980750212,0.0163983601639836,0.023686520236865204,True,True
6,BRD-K02965346-001-01-8,1.0,9.999000099990002e-05,0.00030330300303303004,True,True
7,BRD-K03063480-001-08-9,1.0,9.999000099990002e-05,0.00030330300303303004,True,True
8,BRD-K04923131-001-17-9,1.0,9.999000099990002e-05,0.00030330300303303004,True,True
9,BRD-K06182768-001-02-3,0.07217808940903622,0.042195780421957804,0.05188940565402919,True,False
10,BRD-K06883221-001-02-9,0.02370637087774296,0.19318068193180682,0.2044121169278421,False,False
11,BRD-K09372874-001-02-9,0.9011904761904762,9.999000099990002e-05,0.00030330300303303004,True,True
12,BRD-K12511835-003-03-9,0.35927369853168056,0.0010998900109989002,0.002327674209323254,True,True
13,BRD-K12737986-001-01-4,0.03753256268657409,0.1014898510148985,0.11262898100433859,False,False
14,BRD-K13094524-001-10-9,0.7787698412698412,9.999000099990002e-05,0.00030330300303303004,True,True
15,BRD-K13606314-001-02-9,0.01395965850238505,0.4056594340565943,0.41016676110166755,False,False
16,BRD-K16189898-001-26-9,0.5165159245770128,0.00019998000199980003,0.0004918427076211298,True,True
17,BRD-K16803204-001-02-9,0.0701963299394377,0.044195580441955803,0.05258565052585651,True,False
18,BRD-K17953061-001-05-1,0.6961760680000244,9.999000099990002e-05,0.00030330300303303004,True,True
19,BRD-K19477839-001-10-9,0.026699452093635147,0.16098390160983903,0.17234747113523943,False,False
20,BRD-K19871656-001-01-3,0.5713789682539683,0.00019998000199980003,0.0004918427076211298,True,True
21,BRD-K20290250-001-03-9,0.1034392465410353,0.025697430256974303,0.034902479901263606,True,True
22,BRD-K21728777-001-03-9,0.9791666666666666,9.999000099990002e-05,0.00030330300303303004,True,True
23,BRD-K23383398-001-08-1,0.7176587301587302,9.999000099990002e-05,0.00030330300303303004,True,True
24,BRD-K24600306-003-02-9,0.17699608746852394,0.0110988901109889,0.017413775863792932,True,True
25,BRD-K24696047-001-03-9,1.0,9.999000099990002e-05,0.00030330300303303004,True,True
26,BRD-K25433859-003-03-1,0.3790748597772837,0.0004999500049995,0.00108322501083225,True,True
27,BRD-K25611237-001-09-9,0.2641465321583398,0.007999200079992,0.014659645146596451,True,True
28,BRD-K28936863-051-14-0,0.0722589521335999,0.0420957904209579,0.05188940565402919,True,False
29,BRD-K30707190-001-06-9,0.15765275581090052,0.0160983901609839,0.023628282333057013,True,True
30,BRD-K32730239-001-03-9,0.013821888838890812,0.41145885411458855,0.41145885411458855,False,False
31,BRD-K33818169-003-04-6,0.18114866923151912,0.009799020097990201,0.015923407659234078,True,True
32,BRD-K36234266-001-10-6,0.04301063012578369,0.0826917308269173,0.09525250006644904,False,False
33,BRD-K37379014-001-02-0,1.0,9.999000099990002e-05,0.00030330300303303004,True,True
34,BRD-K38627885-001-01-9,1.0,9.999000099990002e-05,0.00030330300303303004,True,True
35,BRD-K39520573-001-01-2,0.017747281841958062,0.29327067293270676,0.3032685367826854,False,False
36,BRD-K39974922-001-05-9,0.40845720152684317,0.00039996000399960006,0.0008877161064381367,True,True
37,BRD-K44227013-001-15-9,1.0,9.999000099990002e-05,0.00030330300303303004,True,True
38,BRD-K45909031-001-03-9,1.0,9.999000099990002e-05,0.00030330300303303004,True,True
39,BRD-K49669041-001-10-9,0.7393939393939394,9.999000099990002e-05,0.00030330300303303004,True,True
40,BRD-K50055394-001-04-9,0.2835765678058122,0.007799220077992201,0.014659645146596451,True,True
41,BRD-K53665955-001-05-9,0.12390147514987848,0.0192980701929807,0.02701729827017298,True,True
42,BRD-K53972329-001-12-9,0.18429919922211196,0.009599040095990401,0.015882048158820484,True,True
43,BRD-K54759182-003-09-8,0.15757407856137157,0.0160983901609839,0.023628282333057013,True,True
44,BRD-K54955827-001-03-9,0.5662931839402428,0.00019998000199980003,0.0004918427076211298,True,True
45,BRD-K56301217-001-02-5,0.43123989701858556,0.00029997000299970003,0.0006999300069993001,True,True
46,BRD-K56932272-001-02-9,1.0,9.999000099990002e-05,0.00030330300303303004,True,True
47,BRD-K57080016-001-19-1,0.12796598587833777,0.017998200179982,0.025591190880911906,True,True
48,BRD-K60130390-001-02-1,0.6513979076479076,0.00019998000199980003,0.0004918427076211298,True,True
49,BRD-K61397605-001-04-2,1.0,9.999000099990002e-05,0.00030330300303303004,True,True
50,BRD-K61688984-001-04-5,0.6128968253968254,0.00019998000199980003,0.0004918427076211298,True,True
51,BRD-K62391742-001-19-9,0.25676720233171846,0.008099190080991902,0.014659645146596451,True,True
52,BRD-K63631219-001-01-6,0.027910112987993403,0.15108489151084892,0.163675299136753,False,False
53,BRD-K64881305-001-07-9,1.0,9.999000099990002e-05,0.00030330300303303004,True,True
54,BRD-K66401437-001-03-3,0.8560606060606061,9.999000099990002e-05,0.00030330300303303004,True,True
55,BRD-K66430217-001-05-9,0.2042512239187989,0.008599140085991401,0.014659645146596451,True,True
56,BRD-K67578145-001-13-9,0.34984608893157143,0.0017998200179982,0.0037223550372235503,True,True
57,BRD-K67772619-001-06-9,0.19882578470205542,0.0086991300869913,0.014659645146596451,True,True
58,BRD-K68756823-001-12-9,0.09843568306043529,0.026797320267973202,0.035861119770375906,True,True
59,BRD-K69023402-001-03-3,0.8,9.999000099990002e-05,0.00030330300303303004,True,True
60,BRD-K70446295-001-04-9,0.40788276905167475,0.00039996000399960006,0.0008877161064381367,True,True
61,BRD-K70578146-001-13-9,0.8690476190476191,9.999000099990002e-05,0.00030330300303303004,True,True
62,BRD-K70642949-001-06-9,1.0,9.999000099990002e-05,0.00030330300303303004,True,True
63,BRD-K72898849-001-03-9,0.4961140388358733,0.00019998000199980003,0.0004918427076211298,True,True
64,BRD-K72951360-001-02-9,0.8958333333333334,9.999000099990002e-05,0.00030330300303303004,True,True
65,BRD-K73397362-001-09-9,0.3164184132958363,0.007699230076992301,0.014659645146596451,True,True
66,BRD-K73982490-001-04-9,0.016861194032037577,0.31466853314668536,0.32173973613874574,False,False
67,BRD-K75009076-001-04-9,0.8898809523809524,9.999000099990002e-05,0.00030330300303303004,True,True
68,BRD-K76908866-001-08-9,0.4570589030515959,0.00029997000299970003,0.0006999300069993001,True,True
69,BRD-K82164249-001-03-5,0.04028999464557101,0.09199080091990801,0.10458336882361148,False,False
70,BRD-K82941592-238-06-9,0.040014362078178205,0.09309069093090691,0.10458336882361148,False,False
71,BRD-K83192048-050-01-9,0.09047078535468485,0.031196880311968805,0.041143711715784945,True,True
72,BRD-K83607951-001-04-9,0.08615359601501588,0.034096590340965904,0.04309430168094302,True,True
73,BRD-K84937637-001-21-9,1.0,9.999000099990002e-05,0.00030330300303303004,True,True
74,BRD-K85606544-001-07-5,1.0,9.999000099990002e-05,0.00030330300303303004,True,True
75,BRD-K85776940-001-01-9,0.20607124903318721,0.008599140085991401,0.014659645146596451,True,True
76,BRD-K86118762-001-05-9,1.0,9.999000099990002e-05,0.00030330300303303004,True,True
77,BRD-K86718786-001-03-9,0.07157549359795276,0.042995700429957005,0.05216811652168117,True,False
