,Metadata_broad_sample,mean_average_precision,indices,p_value,corrected_p_value,below_p,below_corrected_p
0,BRD-A12994259-001-11-9,0.028842311460832618,"[72, 152, 209, 319]",0.1678832116788321,0.206979302069793,False,False
1,BRD-A22769835-300-05-7,0.010496990439209573,"[30, 119, 155, 327]",0.6472352764723528,0.6619451691194518,False,False
2,BRD-A53576514-048-02-8,0.027745843912776146,"[36, 62, 219, 287]",0.17648235176482352,0.21159726132649895,False,False
3,BRD-A87435144-001-01-6,0.16528183145830205,"[11, 261, 316, 332]",0.0184981501849815,0.029324653741522395,True,True
4,BRD-K00818915-001-02-9,0.10019468578339732,"[67, 85, 90, 143]",0.0306969303069693,0.04529055291192192,True,True
5,BRD-K01826510-001-09-9,0.031732052084506523,"[13, 79, 238, 307]",0.14708529147085292,0.18644614411798258,False,False
6,BRD-K02965346-001-01-8,1.0,"[8, 26, 190, 300]",9.999000099990002e-05,0.00027270000272700006,True,True
7,BRD-K03063480-001-08-9,0.483008658008658,"[86, 107, 180, 245]",0.00019998000199980003,0.00046149231230723084,True,True
8,BRD-K04923131-001-17-9,0.9666666666666667,"[95, 175, 242, 302]",9.999000099990002e-05,0.00027270000272700006,True,True
9,BRD-K06182768-001-02-3,0.019587878889861878,"[15, 140, 170, 311]",0.28517148285171484,0.3248789045146118,False,False
10,BRD-K06883221-001-02-9,0.02831996049686089,"[32, 206, 283, 326]",0.1728827117288271,0.21026275750803297,False,False
11,BRD-K09372874-001-02-9,1.0,"[14, 40, 108, 303]",9.999000099990002e-05,0.00027270000272700006,True,True
12,BRD-K12511835-003-03-9,1.0,"[187, 205, 273, 294]",9.999000099990002e-05,0.00027270000272700006,True,True
13,BRD-K12737986-001-01-4,0.011389426922266044,"[121, 207, 284, 328]",0.5822417758224178,0.6023190784369838,False,False
14,BRD-K13094524-001-10-9,0.5903769841269841,"[99, 174, 334, 357]",9.999000099990002e-05,0.00027270000272700006,True,True
15,BRD-K13606314-001-02-9,0.022256508830947583,"[5, 126, 191, 352]",0.23837616238376164,0.2786214885005006,False,False
16,BRD-K16189898-001-26-9,0.8468253968253968,"[45, 112, 148, 168]",9.999000099990002e-05,0.00027270000272700006,True,True
17,BRD-K16803204-001-02-9,0.015303220571489988,"[169, 178, 246, 333]",0.3992600739926007,0.4277786507063579,False,False
18,BRD-K17953061-001-05-1,0.2420070396376544,"[132, 274, 323, 353]",0.008399160083991601,0.016470051108096736,True,True
19,BRD-K19477839-001-10-9,0.017918391610328,"[1, 59, 208, 340]",0.32186781321867813,0.35326955109367114,False,False
20,BRD-K19871656-001-01-3,1.0,"[74, 92, 133, 186]",9.999000099990002e-05,0.00027270000272700006,True,True
21,BRD-K20290250-001-03-9,0.24091790640250205,"[83, 136, 183, 255]",0.0096990300969903,0.016470051108096736,True,True
22,BRD-K21728777-001-03-9,0.9791666666666666,"[21, 124, 279, 354]",9.999000099990002e-05,0.00027270000272700006,True,True
23,BRD-K23383398-001-08-1,1.0,"[65, 128, 134, 247]",9.999000099990002e-05,0.00027270000272700006,True,True
24,BRD-K24600306-003-02-9,0.060490820308886764,"[38, 237, 257, 318]",0.06229377062293771,0.08494605084946051,False,False
25,BRD-K24696047-001-03-9,1.0,"[66, 84, 87, 103]",9.999000099990002e-05,0.00027270000272700006,True,True
26,BRD-K25433859-003-03-1,0.06781774108538399,"[159, 220, 280, 288]",0.0524947505249475,0.07466440855914408,False,False
27,BRD-K25611237-001-09-9,0.0451909259752654,"[217, 239, 315, 322]",0.0908909109089091,0.12029679385002676,False,False
28,BRD-K28936863-051-14-0,0.03806646016761592,"[60, 94, 301, 346]",0.11408859114088592,0.1466853314668533,False,False
29,BRD-K30707190-001-06-9,0.020882539264351463,"[241, 264, 299, 324]",0.2615738426157384,0.3018159722489289,False,False
30,BRD-K32730239-001-03-9,0.10400781627224523,"[111, 233, 254, 338]",0.0292970702929707,0.043945605439456054,True,True
