,Metadata_broad_sample,mean_average_precision,p_value,corrected_p_value,below_p,below_corrected_p
0,BRD-A12994259-001-11-9,0.20579168373878207,0.00859914,0.016842997,TRUE,TRUE
1,BRD-A22769835-300-05-7,0.019392627833283112,0.26037396260373963,0.2787533011404742,FALSE,FALSE
2,BRD-A53576514-048-02-8,0.040222146263392516,0.092190781,0.11651890366518905,FALSE,FALSE
3,BRD-A87435144-001-01-6,0.050350098,0.066393361,0.091542361,FALSE,FALSE
4,BRD-K00818915-001-02-9,0.15360545739459142,0.016198380161983803,0.028347165283471656,TRUE,TRUE
5,BRD-K01826510-001-09-9,0.047231147,0.072592741,0.098596111,FALSE,FALSE
6,BRD-K02965346-001-01-8,0.8694444444444445,9.999000099990002e-05,0.000337003,TRUE,TRUE
7,BRD-K03063480-001-08-9,1,9.999000099990002e-05,0.000337003,TRUE,TRUE
8,BRD-K04923131-001-17-9,1,9.999000099990002e-05,0.000337003,TRUE,TRUE
9,BRD-K06182768-001-02-3,0.014473983874818698,0.38666133386661333,0.3953503526051889,FALSE,FALSE
10,BRD-K06883221-001-02-9,0.031347134717335814,0.12868713128687131,0.14823454363424418,FALSE,FALSE
11,BRD-K09372874-001-02-9,1,9.999000099990002e-05,0.000337003,TRUE,TRUE
12,BRD-K12511835-003-03-9,0.8430555555555556,9.999000099990002e-05,0.000337003,TRUE,TRUE
13,BRD-K12737986-001-01-4,0.080851689,0.03529647,0.05353298,TRUE,FALSE
14,BRD-K13094524-001-10-9,0.2330472291973918,0.00809919,0.016842997,TRUE,TRUE
15,BRD-K13606314-001-02-9,0.068673365,0.04459554,0.065454745,TRUE,FALSE
16,BRD-K16189898-001-26-9,0.9513888888888888,9.999000099990002e-05,0.000337003,TRUE,TRUE
17,BRD-K16803204-001-02-9,0.040290479,0.091990801,0.11651890366518905,FALSE,FALSE
18,BRD-K17953061-001-05-1,1,9.999000099990002e-05,0.000337003,TRUE,TRUE
19,BRD-K19477839-001-10-9,0.025948120543963102,0.1670832916708329,0.1854217017322658,FALSE,FALSE
20,BRD-K19871656-001-01-3,0.9583333333333333,9.999000099990002e-05,0.000337003,TRUE,TRUE
