,Metadata_broad_sample,mean_average_precision,p_value,corrected_p_value,below_p,below_corrected_p
0,BRD-A12994259-001-11-9,0.11123772815128267,0.028897110288971104,0.04128158612710158,True,True
1,BRD-A22769835-300-05-7,0.010965474179758045,0.6154384561543845,0.6366604718838461,False,False
2,BRD-A53576514-048-02-8,0.12212315503303109,0.024797520247975203,0.037196280371962806,True,True
3,BRD-A87435144-001-01-6,0.09196392205951147,0.034896510348965105,0.04831824509856707,True,True
4,BRD-K00818915-001-02-9,0.046515945598244575,0.08499150084991501,0.11416768770884106,False,False
5,BRD-K01826510-001-09-9,0.0354565709463584,0.12268773122687732,0.16002747551331822,False,False
6,BRD-K02965346-001-01-8,1.0,9.999000099990002e-05,0.0003103137962065862,True,True
7,BRD-K03063480-001-08-9,0.7405753968253969,9.999000099990002e-05,0.0003103137962065862,True,True
8,BRD-K04923131-001-17-9,0.6870879120879121,9.999000099990002e-05,0.0003103137962065862,True,True
9,BRD-K06182768-001-02-3,0.01878827831620809,0.2953704629537046,0.3322917708229177,False,False
10,BRD-K06883221-001-02-9,0.011239871284072675,0.5991400859914009,0.6270070667351869,False,False
11,BRD-K09372874-001-02-9,1.0,9.999000099990002e-05,0.0003103137962065862,True,True
12,BRD-K12511835-003-03-9,0.8694444444444445,9.999000099990002e-05,0.0003103137962065862,True,True
13,BRD-K12737986-001-01-4,0.030150878805926304,0.15498450154984503,0.19373062693730628,False,False
14,BRD-K13094524-001-10-9,0.6296642092278282,0.00019998000199980003,0.0003912652213039566,True,True
15,BRD-K13606314-001-02-9,0.020182218513662156,0.268973102689731,0.30642505369716194,False,False
16,BRD-K16189898-001-26-9,1.0,9.999000099990002e-05,0.0003103137962065862,True,True
17,BRD-K16803204-001-02-9,0.02456370159385761,0.20277972202779723,0.24333566643335666,False,False
18,BRD-K17953061-001-05-1,0.6898656898656899,9.999000099990002e-05,0.0003103137962065862,True,True
19,BRD-K19477839-001-10-9,0.010779116821417939,0.6291370862913709,0.6434356564343566,False,False
20,BRD-K19871656-001-01-3,1.0,9.999000099990002e-05,0.0003103137962065862,True,True
21,BRD-K20290250-001-03-9,0.29158727979409066,0.007999200079992,0.014190888603447348,True,True
22,BRD-K21728777-001-03-9,1.0,9.999000099990002e-05,0.0003103137962065862,True,True
23,BRD-K23383398-001-08-1,0.9583333333333334,9.999000099990002e-05,0.0003103137962065862,True,True
24,BRD-K24600306-003-02-9,0.04448108355996827,0.0892910708929107,0.11817935853473475,False,False
25,BRD-K24696047-001-03-9,0.5790053960180563,0.00019998000199980003,0.0003912652213039566,True,True
26,BRD-K25433859-003-03-1,0.13613087896332657,0.020897910208979104,0.031878168115391854,True,True
27,BRD-K25611237-001-09-9,0.028847665271016943,0.1638836116388361,0.19931790604723312,False,False
28,BRD-K28936863-051-14-0,0.01748716510398551,0.32856714328567144,0.365074603650746,False,False
29,BRD-K30707190-001-06-9,0.012971496055416351,0.49445055494450557,0.529768451726256,False,False
30,BRD-K32730239-001-03-9,0.012083976425491747,0.5436456354364564,0.5756247904621303,False,False
31,BRD-K33818169-003-04-6,0.16700261438626965,0.019098090190980903,0.03117545388318311,True,True
32,BRD-K36234266-001-10-6,0.009642045835361865,0.7175282471752825,0.7255903623120834,False,False
33,BRD-K37379014-001-02-0,0.8669642857142857,9.999000099990002e-05,0.0003103137962065862,True,True
34,BRD-K38627885-001-01-9,1.0,9.999000099990002e-05,0.0003103137962065862,True,True
35,BRD-K39520573-001-01-2,0.031574066067913104,0.14538546145385461,0.1869241647263845,False,False
36,BRD-K39974922-001-05-9,0.790909090909091,9.999000099990002e-05,0.0003103137962065862,True,True
37,BRD-K44227013-001-15-9,0.5147837066315327,0.00019998000199980003,0.0003912652213039566,True,True
38,BRD-K45909031-001-03-9,0.10542550677531504,0.027697230276972302,0.04078624395624954,True,True
39,BRD-K49669041-001-10-9,0.834090909090909,9.999000099990002e-05,0.0003103137962065862,True,True
40,BRD-K50055394-001-04-9,0.9791666666666666,9.999000099990002e-05,0.0003103137962065862,True,True
41,BRD-K53665955-001-05-9,0.4595219017094017,0.00019998000199980003,0.0003912652213039566,True,True
42,BRD-K53972329-001-12-9,0.11636634608227163,0.028097190280971903,0.04078624395624954,True,True
43,BRD-K54759182-003-09-8,0.03085602163246435,0.1494850514948505,0.1894880934441767,False,False
44,BRD-K54955827-001-03-9,0.7041666666666666,9.999000099990002e-05,0.0003103137962065862,True,True
