Metadata_broad_sample,mean_average_precision,indices,p_value,corrected_p_value,below_p,below_corrected_p
BRD-A12994259-001-11-9,0.038398695538574015,"[72, 152, 209, 319]",0.11048895110488952,0.12276550122765502,False,False
BRD-A22769835-300-05-7,0.17740418581790918,"[30, 119, 155, 327]",0.014498550144985502,0.02289244759734553,True,True
BRD-A53576514-048-02-8,0.022428202322596433,"[36, 62, 219, 287]",0.23077692230776922,0.24435203538469683,False,False
BRD-A87435144-001-01-6,0.4558580014195001,"[11, 261, 316, 332]",0.00019998000199980003,0.0005454000054540001,True,True
BRD-K00818915-001-02-9,0.2431682002984587,"[67, 85, 90, 143]",0.0081991800819918,0.014432519012249716,True,True
BRD-K01826510-001-09-9,0.07373275061002289,"[13, 79, 238, 307]",0.047595240475952406,0.058679063600489266,True,False
BRD-K02965346-001-01-8,1.0,"[8, 26, 190, 300]",9.999000099990002e-05,0.0004999500049995,True,True
BRD-K03063480-001-08-9,0.6218253968253968,"[86, 107, 180, 245]",0.00019998000199980003,0.0005454000054540001,True,True
BRD-K04923131-001-17-9,0.6841463285129037,"[95, 175, 242, 302]",9.999000099990002e-05,0.0004999500049995,True,True
BRD-K06182768-001-02-3,0.031542714484948664,"[15, 140, 170, 311]",0.1456854314568543,0.15797215459176972,False,False
BRD-K06883221-001-02-9,0.03584981946822626,"[32, 206, 283, 326]",0.1212878712128787,0.1331208342580376,False,False
BRD-K09372874-001-02-9,0.3820139724067746,"[14, 40, 108, 303]",0.0008999100089991,0.002188970292159973,True,True
BRD-K12511835-003-03-9,0.5901484674329501,"[187, 205, 273, 294]",0.00019998000199980003,0.0005454000054540001,True,True
BRD-K12737986-001-01-4,0.06420472981141438,"[121, 207, 284, 328]",0.055894410558944105,0.06707329267073292,False,False
BRD-K13094524-001-10-9,0.48251404096992334,"[99, 174, 334, 357]",0.00019998000199980003,0.0005454000054540001,True,True
BRD-K13606314-001-02-9,0.016743033075479266,"[5, 126, 191, 352]",0.3521647835216478,0.3643083967465322,False,False
BRD-K16189898-001-26-9,0.6583026425980711,"[45, 112, 148, 168]",0.00019998000199980003,0.0005454000054540001,True,True
BRD-K16803204-001-02-9,0.17332175003672762,"[169, 178, 246, 333]",0.017298270172982702,0.026842143371869708,True,True
BRD-K17953061-001-05-1,0.2740009402760479,"[132, 274, 323, 353]",0.0084991500849915,0.014432519012249716,True,True
BRD-K19477839-001-10-9,0.014818760756942852,"[1, 59, 208, 340]",0.41405859414058593,0.41871093789497454,False,False
BRD-K19871656-001-01-3,0.8233974358974359,"[74, 92, 133, 186]",9.999000099990002e-05,0.0004999500049995,True,True
BRD-K20290250-001-03-9,0.18674372010996354,"[83, 136, 183, 255]",0.0103989601039896,0.0170164801701648,True,True
BRD-K21728777-001-03-9,0.5007748988912065,"[21, 124, 279, 354]",0.00019998000199980003,0.0005454000054540001,True,True
BRD-K23383398-001-08-1,0.6416005291005291,"[65, 128, 134, 247]",0.00019998000199980003,0.0005454000054540001,True,True
BRD-K24600306-003-02-9,0.4922165063483849,"[38, 237, 257, 318]",0.00019998000199980003,0.0005454000054540001,True,True
BRD-K24696047-001-03-9,1.0,"[66, 84, 87, 103]",9.999000099990002e-05,0.0004999500049995,True,True
BRD-K25433859-003-03-1,0.7185019841269842,"[159, 220, 280, 288]",9.999000099990002e-05,0.0004999500049995,True,True
BRD-K25611237-001-09-9,0.432972820105173,"[217, 239, 315, 322]",0.0004999500049995,0.0013233970720575002,True,True
BRD-K28936863-051-14-0,0.08037216136855192,"[60, 94, 301, 346]",0.04229577042295771,0.052869713028697134,True,False
BRD-K30707190-001-06-9,0.29926121384832816,"[241, 264, 299, 324]",0.007999200079992,0.014432519012249716,True,True
BRD-K32730239-001-03-9,0.02630230518332631,"[111, 233, 254, 338]",0.18568143185681432,0.1989443912751582,False,False
BRD-K33818169-003-04-6,0.2685810475054661,"[182, 218, 296, 329]",0.0081991800819918,0.014432519012249716,True,True
BRD-K36234266-001-10-6,0.013877560961711681,"[9, 96, 213, 359]",0.45325467453254675,0.45325467453254675,False,False
BRD-K37379014-001-02-0,0.6058661145617668,"[58, 80, 129, 197]",0.00019998000199980003,0.0005454000054540001,True,True
BRD-K38627885-001-01-9,1.0,"[19, 151, 224, 256]",9.999000099990002e-05,0.0004999500049995,True,True
BRD-K39520573-001-01-2,0.06424801771957027,"[55, 157, 163, 249]",0.05579442055794421,0.06707329267073292,False,False
BRD-K39974922-001-05-9,0.4984652954633052,"[68, 91, 162, 195]",0.00019998000199980003,0.0005454000054540001,True,True
BRD-K44227013-001-15-9,0.4620797720797721,"[82, 97, 266, 276]",0.00019998000199980003,0.0005454000054540001,True,True
BRD-K45909031-001-03-9,0.9027777777777777,"[18, 29, 165, 202]",9.999000099990002e-05,0.0004999500049995,True,True
BRD-K49669041-001-10-9,0.9523809523809524,"[17, 43, 71, 154]",9.999000099990002e-05,0.0004999500049995,True,True
BRD-K50055394-001-04-9,0.25631014499401494,"[70, 158, 244, 281]",0.0081991800819918,0.014432519012249716,True,True
BRD-K53665955-001-05-9,0.4113821930775433,"[138, 194, 297, 350]",0.0005999400059994001,0.0014998500149985001,True,True
BRD-K53972329-001-12-9,0.18868149945999485,"[16, 160, 166, 184]",0.0096990300969903,0.016165050161650502,True,True
BRD-K54759182-003-09-8,0.13304263725836812,"[2, 27, 88, 104]",0.0212978702129787,0.029950129987001296,True,True
BRD-K54955827-001-03-9,0.682936507936508,"[200, 222, 230, 339]",9.999000099990002e-05,0.0004999500049995,True,True
BRD-K56301217-001-02-5,0.5510954070308213,"[25, 64, 116, 278]",0.00019998000199980003,0.0005454000054540001,True,True
BRD-K56932272-001-02-9,0.5851869965753813,"[37, 110, 262, 331]",0.00019998000199980003,0.0005454000054540001,True,True
BRD-K57080016-001-19-1,0.08438827136932814,"[54, 189, 214, 295]",0.040495950404959506,0.05183988643389182,True,False
BRD-K60130390-001-02-1,0.8263888888888888,"[52, 142, 210, 250]",9.999000099990002e-05,0.0004999500049995,True,True
BRD-K61397605-001-04-2,0.23432191590086326,"[56, 69, 115, 144]",0.0081991800819918,0.014432519012249716,True,True
BRD-K61688984-001-04-5,0.48406167770138353,"[57, 147, 225, 265]",0.00019998000199980003,0.0005454000054540001,True,True
BRD-K62391742-001-19-9,0.1569754253624423,"[0, 141, 308, 351]",0.019498050194980503,0.02830362125077815,True,True
BRD-K63631219-001-01-6,0.05954528260843543,"[76, 234, 277, 356]",0.062993700629937,0.07421335788499073,False,False
BRD-K64881305-001-07-9,0.35587680450485326,"[42, 122, 226, 321]",0.0017998200179982,0.004049595040495951,True,True
BRD-K66401437-001-03-3,0.3710494894598155,"[123, 201, 240, 342]",0.000999900009999,0.0023074615615361537,True,True
BRD-K66430217-001-05-9,0.13915268088469643,"[33, 149, 193, 305]",0.020597940205979402,0.029425628865684863,True,True
BRD-K67578145-001-13-9,0.23174316518048563,"[23, 24, 192, 282]",0.0081991800819918,0.014432519012249716,True,True
BRD-K67772619-001-06-9,0.41595762164406896,"[61, 216, 271, 312]",0.0005999400059994001,0.0014998500149985001,True,True
BRD-K68756823-001-12-9,0.15852935420058514,"[51, 75, 310, 330]",0.019498050194980503,0.02830362125077815,True,True
BRD-K69023402-001-03-3,0.25882790128314426,"[109, 188, 204, 345]",0.0084991500849915,0.014432519012249716,True,True
BRD-K70446295-001-04-9,0.3696216563827083,"[167, 291, 314, 325]",0.000999900009999,0.0023074615615361537,True,True
BRD-K70578146-001-13-9,0.2581626600304761,"[49, 253, 293, 317]",0.0084991500849915,0.014432519012249716,True,True
BRD-K70642949-001-06-9,1.0,"[3, 117, 185, 347]",9.999000099990002e-05,0.0004999500049995,True,True
BRD-K72898849-001-03-9,0.22069211504595898,"[10, 177, 292, 344]",0.0084991500849915,0.014432519012249716,True,True
BRD-K72951360-001-02-9,0.2480417274377241,"[44, 137, 223, 259]",0.0081991800819918,0.014432519012249716,True,True
BRD-K73397362-001-09-9,0.15338787539558518,"[4, 164, 235, 248]",0.019498050194980503,0.02830362125077815,True,True
BRD-K73982490-001-04-9,0.018876129615369212,"[73, 113, 145, 336]",0.2937706229377062,0.3074343728417856,False,False
BRD-K75009076-001-04-9,0.7513888888888889,"[22, 150, 260, 349]",9.999000099990002e-05,0.0004999500049995,True,True
BRD-K76908866-001-08-9,0.1807856767415591,"[41, 102, 221, 270]",0.0124987501249875,0.020087276986587053,True,True
BRD-K82164249-001-03-5,0.10050302426178365,"[127, 139, 229, 309]",0.0314968503149685,0.04108284823691544,True,True
BRD-K82941592-238-06-9,0.052499140004079035,"[6, 199, 343, 358]",0.07339266073392661,0.08468383930837686,False,False
BRD-K83192048-050-01-9,0.16784797122236367,"[179, 198, 212, 285]",0.018998100189981004,0.02830362125077815,True,True
BRD-K83607951-001-04-9,0.05845825933265525,"[100, 130, 227, 269]",0.0634936506349365,0.07421335788499073,False,False
BRD-K84937637-001-21-9,0.5095602813242407,"[34, 105, 243, 258]",0.00019998000199980003,0.0005454000054540001,True,True
BRD-K85606544-001-07-5,0.7915895061728395,"[98, 125, 290, 355]",9.999000099990002e-05,0.0004999500049995,True,True
BRD-K85776940-001-01-9,0.10329991572147233,"[48, 196, 263, 348]",0.030396960303969604,0.040231270990548004,True,True
BRD-K86118762-001-05-9,0.76875,"[156, 173, 176, 335]",9.999000099990002e-05,0.0004999500049995,True,True
BRD-K86718786-001-03-9,0.04030812285282271,"[7, 114, 135, 251]",0.10188981101889812,0.11607699989494723,False,False
BRD-K87632963-001-05-9,0.1272831172047267,"[153, 172, 267, 320]",0.0225977402259774,0.03128917877443025,True,True
BRD-K88677950-001-04-9,0.0830733208082303,"[106, 131, 236, 313]",0.0408959104089591,0.05183988643389182,True,False
BRD-K91900765-001-09-9,0.03979434185833008,"[63, 118, 161, 232]",0.10428957104289571,0.11732576742325768,False,False
BRD-K93942811-001-03-9,0.10430737329088989,"[35, 203, 215, 289]",0.030296970302969704,0.040231270990548004,True,True
BRD-K94455792-001-01-8,0.23355226722327213,"[12, 120, 275, 298]",0.0081991800819918,0.014432519012249716,True,True
BRD-K97452254-001-02-9,0.331617807634722,"[50, 228, 252, 304]",0.007999200079992,0.014432519012249716,True,True
BRD-K98203492-001-06-9,0.8412698412698413,"[31, 53, 93, 211]",9.999000099990002e-05,0.0004999500049995,True,True
BRD-K98251413-001-07-9,0.10524594060511858,"[81, 146, 268, 286]",0.030096990300969902,0.040231270990548004,True,True
BRD-K99092662-001-02-9,0.015180622917531984,"[20, 89, 171, 181]",0.400959904009599,0.4100726291007263,False,False
BRD-K99113996-001-02-0,1.0,"[77, 78, 231, 337]",9.999000099990002e-05,0.0004999500049995,True,True
BRD-K99433989-001-02-9,0.9791666666666666,"[28, 47, 272, 341]",9.999000099990002e-05,0.0004999500049995,True,True
BRD-M87138257-003-01-1,1.0,"[39, 46, 101, 306]",9.999000099990002e-05,0.0004999500049995,True,True
