Standard CP,CP + MitoBrilliant,CP + Phenovue phalloidin 400LS,Standard CP (exposed to ChromaLive),ChromaLive + Hoechst,Metadata_Well
3121,3456.0,3361,3093,3219,A01
3804,4102.0,4012,3539,3824,A02
3766,3903.0,4048,3567,3838,A03
2922,3304.0,3239,2711,2768,A04
3971,4045.0,3955,3502,3722,A05
3679,3820.0,4259,3461,3753,A06
3803,3885.0,3951,3422,3915,A07
3750,4033.0,3872,3844,4082,A08
1840,1876.0,1812,1788,1770,A09
3559,3727.0,3899,3552,3720,A10
2287,2688.0,2432,2343,2286,A11
3643,3794.0,3795,3310,3048,A12
2727,3161.0,3019,2818,2691,A13
3736,4106.0,3906,3630,4009,A14
1319,1343.0,1351,1480,1508,A15
3495,3969.0,3941,3283,3829,A16
3905,3974.0,4264,3319,3855,A17
1102,1124.0,1060,1426,1444,A18
3770,3983.0,4128,3783,3911,A19
3162,3337.0,3560,3295,3136,A20
2225,2386.0,2536,2392,2301,A21
4096,4111.0,4080,3495,3999,A22
707,748.0,724,913,932,A23
590,633.0,586,592,815,A24
3965,4144.0,4190,3809,4050,B01
4746,4629.0,4605,4529,3867,B02
4392,4735.0,4619,3944,4555,B03
3175,3305.0,3232,2901,3036,B04
1858,1935.0,2001,2047,2090,B05
3970,4060.0,4240,3900,3727,B06
3980,4074.0,4062,3598,3600,B07
3413,3580.0,3461,3184,3579,B08
3740,4051.0,4048,3518,3951,B09
1185,1296.0,1288,1472,1421,B10
3838,4192.0,3971,3813,3918,B11
4082,4218.0,4242,4006,4227,B12
2818,2787.0,2699,2510,2744,B13
3540,3727.0,3780,3390,3701,B14
3960,4067.0,4107,3901,3994,B15
4002,4237.0,4441,3949,4168,B16
2643,2934.0,2721,2815,2427,B17
4153,4084.0,3910,3881,4026,B18
58,42.0,58,84,412,B19
1353,1455.0,1414,1550,1616,B20
3880,4190.0,3909,3548,3853,B21
520,413.0,403,520,610,B22
4144,4275.0,4472,3847,4273,B23
1173,1162.0,1038,1470,1180,B24
168,174.0,147,231,236,C01
3425,3404.0,3564,3379,3388,C02
66,47.0,40,112,348,C03
3930,3934.0,3924,3755,3721,C04
3852,4265.0,4138,3864,4178,C05
4086,3941.0,4385,3644,4080,C06
214,220.0,179,198,489,C07
2078,2098.0,2100,2277,2337,C08
3861,3989.0,4388,3687,4170,C09
3794,3737.0,3797,3510,3639,C10
1240,1157.0,1259,1291,1439,C11
3406,3537.0,3646,3163,3545,C12
4200,4087.0,4208,3913,3991,C13
322,248.0,320,258,620,C14
2651,2719.0,2577,2510,2840,C15
494,531.0,509,614,674,C16
4033,4238.0,4014,3571,3962,C17
4056,3901.0,4041,3840,4035,C18
3990,4013.0,4299,3784,3780,C19
4375,4116.0,4282,4199,4085,C20
3742,3826.0,4060,3617,3889,C21
3199,3134.0,3051,3103,3030,C22
3926,4074.0,4182,3719,3771,C23
2930,3155.0,3241,2499,2829,C24
3923,4009.0,4530,3551,3828,D01
3257,3320.0,3335,3486,2995,D02
278,304.0,292,267,671,D03
3776,4198.0,4349,3843,4166,D04
1436,1424.0,1358,1678,1634,D05
4137,4151.0,4319,3670,4055,D06
3737,4187.0,4142,3672,4121,D07
3273,3114.0,3269,2619,3115,D08
3701,4119.0,4485,3800,4192,D09
4143,4246.0,4360,3824,3934,D10
4076,4041.0,4186,3746,3980,D11
1307,1322.0,1518,1360,1441,D12
1368,1361.0,1462,1417,1537,D13
4032,4087.0,3866,3810,4097,D14
459,533.0,428,605,774,D15
3897,4309.0,4340,3876,3936,D16
430,433.0,300,330,604,D17
3698,3987.0,3946,3829,3918,D18
3149,3119.0,3250,2960,3024,D19
3923,4382.0,4139,4047,3937,D20
262,274.0,256,308,392,D21
3264,3390.0,3333,2956,2955,D22
4086,4099.0,3861,3819,3889,D23
4027,3847.0,4027,3611,3978,D24
4117,4042.0,3997,3681,3951,E01
3398,3320.0,3057,3242,3315,E02
3200,3081.0,3202,2723,3189,E03
1322,1225.0,1486,1402,1484,E04
4068,4245.0,4249,3964,4094,E05
1726,1825.0,1720,2005,1806,E06
4048,4246.0,4194,3693,4021,E07
369,408.0,340,370,709,E08
