Metadata_Well,CP + MitoBrilliant
A01,3456
A02,4102
A03,3903
A04,3304
A05,4045
A06,3820
A07,3885
A08,4033
A09,1876
A10,3727
A11,2688
A12,3794
A13,3161
A14,4106
A15,1343
A16,3969
A17,3974
A18,1124
A19,3983
A20,3337
A21,2386
A22,4111
A23,748
A24,633
B01,4144
B02,4629
B03,4735
B04,3305
B05,1935
B06,4060
B07,4074
B08,3580
B09,4051
B10,1296
B11,4192
B12,4218
B13,2787
B14,3727
B15,4067
B16,4237
B17,2934
B18,4084
B19,42
B20,1455
B21,4190
B22,413
B23,4275
B24,1162
C01,174
C02,3404
C03,47
C04,3934
C05,4265
C06,3941
C07,220
C08,2098
C09,3989
C10,3737
C11,1157
C12,3537
C13,4087
C14,248
C15,2719
C16,531
C17,4238
C18,3901
C19,4013
C20,4116
C21,3826
C22,3134
C23,4074
C24,3155
D01,4009
D02,3320
D03,304
D04,4198
D05,1424
D06,4151
D07,4187
D08,3114
D09,4119
D10,4246
D11,4041
D12,1322
D13,1361
D14,4087
D15,533
D16,4309
D17,433
D18,3987
D19,3119
D20,4382
D21,274
D22,3390
D23,4099
D24,3847
E01,4042
E02,3320
E03,3081
E04,1225
E05,4245
E06,1825
E07,4246
E08,408
E09,1765
E10,3921
E11,3418
E12,61
E13,4140
E14,4082
E15,3133
E16,4109
E17,2907
E18,3931
E19,285
E20,1437
E21,89
E22,2802
E23,1678
E24,4058
F01,3676
F02,4194
F03,4154
F04,378
F05,3297
F06,3182
F07,4128
F08,4174
F09,3122
F10,4126
F11,543
F12,237
F13,771
F14,1730
F15,3946
F16,4257
F17,4130
F18,518
F19,3211
F20,3845
F21,4132
F22,1044
F23,3068
F24,3898
G01,4133
G02,3973
G03,4076
G04,200
G05,2830
G06,3998
G07,4027
G08,3694
G09,3839
G10,4039
G11,280
G12,3883
G13,4233
G14,2560
G15,3727
G16,4155
G17,646
G18,2369
G19,4062
G20,3871
G21,1286
G22,4204
G23,3099
G24,4238
H01,3941
H02,4047
H03,4216
H04,3891
H05,3292
H06,4281
H07,4431
H08,4170
H09,3514
H10,4178
H11,3506
H12,3414
H13,4048
H14,4009
H15,4198
H16,3884
H17,3228
H18,3649
H19,1702
H20,3360
H21,2807
H22,4335
H23,4291
H24,253
I01,4117
I02,4064
I03,4027
I04,3973
I05,3066
I06,3609
I07,3320
I08,83
I09,3544
I10,1973
I11,3829
I12,4373
I13,3794
I14,2704
I15,3219
I16,3911
I17,498
I18,4117
I19,4882
I20,4385
I21,2265
I22,117
I23,3574
I24,3471
J01,3975
J02,111
J03,3298
J04,3842
J05,4065
J06,4186
J07,4031
J08,3733
J09,1284
J10,4072
J11,4037
J12,3360
J13,3596
J14,3999
J15,3936
J16,3618
J17,3931
J18,4078
J19,3947
J20,3821
J21,2446
J22,201
J23,1990
J24,2662
K01,455
K02,3102
K03,2149
K04,4248
K05,4370
K06,2354
K07,1431
K09,3915
K08,3825
K10,3357
K11,3845
K12,3989
K13,3414
K14,3943
K15,3908
K16,3547
K17,116
K18,4197
K19,1579
K20,2757
K21,4035
K22,243
K23,4024
K24,3519
L01,4218
L02,4015
L03,3758
L04,4403
L05,2133
L06,169
L07,4194
L08,3775
L09,3827
L10,2253
L11,4015
L12,3069
L13,194
L14,596
L15,3594
L16,2628
L17,4002
L18,3771
L19,2495
L20,312
L21,3990
L22,4208
L23,3969
L24,3025
M01,3891
M02,4025
M03,3963
M04,3393
M05,895
M06,3010
M07,434
M08,4205
M09,3063
M10,739
M11,4143
M12,3942
M13,4544
M14,4384
M15,4133
M16,4199
M17,4245
M18,4463
M19,4087
M20,4265
M21,3604
M22,1807
M23,3922
M24,2413
N01,311
N02,3378
N03,3677
N04,4320
N05,2884
N06,2984
N07,4298
N08,1998
N09,4072
N10,1573
N11,1362
N12,2258
N13,4060
N14,50
N15,4378
N16,3800
N17,3967
N18,3959
N19,4249
N20,4350
N21,3940
N22,3639
N23,3724
N24,3974
O01,3479
O02,242
O03,4017
O04,4020
O05,4189
O06,495
O07,3692
O08,838
O09,3850
O10,3257
O11,3767
O12,4098
O13,4151
O14,3782
O15,4102
O16,3885
O17,2323
O18,4145
O19,3398
O20,4026
O21,3720
O22,3196
O23,3747
O24,1391
P02,1655
P03,4166
P04,3825
P05,126
P06,4876
P07,3831
P08,2523
P09,94
P10,4037
P11,2743
P12,3883
P13,841
P14,2207
P15,3386
P16,3884
P17,802
P18,690
P19,1589
P20,3899
P21,3614
P22,3995
P23,4099
P24,3411
