,Metadata_MoA,mean_average_precision,p_value,corrected_p_value,below_p,below_corrected_p
0,AMPK inhibitor,0.15280540537893478,0.019098090190980903,0.029571236424744622,True,True
1,Apoptosis inducer (ATP-competitive kinase inhibitor),0.9791666666666666,9.999000099990002e-05,0.00028232470870560004,True,True
2,Apoptosis inducer (transcription inhibitor),0.6167748917748918,0.00019998000199980003,0.00047995200479952006,True,True
3,Aurora kinase inhibitor,0.3447966953184549,9.999000099990002e-05,0.00028232470870560004,True,True
4,BCL inhibitor,0.33417986401886574,9.999000099990002e-05,0.00028232470870560004,True,True
5,Bcr-Abl kinase inhibitor,0.26261053099696124,0.0011998800119988001,0.0025997400259974,True,True
6,CDC inhibitor,0.2493561227269317,0.0012998700129987,0.0025997400259974,True,True
7,CDK inhibitor,0.42167625979972523,9.999000099990002e-05,0.00028232470870560004,True,True
8,CHK inhibitor,0.47869778765642496,9.999000099990002e-05,0.00028232470870560004,True,True
9,DNA inhibitor,0.1143565759828417,0.023397660233976603,0.0330319909185552,True,True
10,EGFR inhibitor,0.215821731169019,0.0020997900209979003,0.004031596840315968,True,True
11,ER stressor (SERCA inhibitor),0.7694940476190476,9.999000099990002e-05,0.00028232470870560004,True,True
12,FGFR inhibitor,0.41480231738870826,9.999000099990002e-05,0.00028232470870560004,True,True
13,HDAC inhibitor,0.4029993304936222,9.999000099990002e-05,0.00028232470870560004,True,True
14,HMGCR inhibitor,0.027633161788769907,0.390960903909609,0.41702496417024965,False,False
15,IGF-1 inhibitor,0.5706910322707973,9.999000099990002e-05,0.00028232470870560004,True,True
16,JAK inhibitor,0.10521155249691339,0.0268973102689731,0.036887739797448825,True,True
17,JNK inhibitor,0.021625248137105504,0.4821517848215178,0.5031149059007143,False,False
18,LXR agonist,0.3850202564208264,9.999000099990002e-05,0.00028232470870560004,True,True
19,MAP kinase inhibitor,0.11621598899564432,0.0231976802319768,0.0330319909185552,True,True
20,MEK inhibitor,0.1975442061061337,0.0028997100289971,0.0047995200479952005,True,True
21,MoA,0.0798449372817101,0.2783721627837216,0.31074101892136363,False,False
22,PARP inhibitor,0.13530104037642843,0.0197980201979802,0.029697030296970302,True,True
23,RAF inhibitor,0.3912188781767976,9.999000099990002e-05,0.00028232470870560004,True,True
24,acetylcholine receptor antagonist,0.09165529600162683,0.036696330366963306,0.04864378427022162,True,True
25,androgen receptor modulator,0.0442486504611213,0.15078492150784922,0.1765286885945552,False,False
26,antihistamine,0.028370959159515156,0.3722627737226277,0.40610484406104846,False,False
27,beta-catenin inhibitor,0.16731538110815963,0.009599040095990401,0.015358464153584642,True,True
28,bromodomain inhibitor,0.6248314228424305,9.999000099990002e-05,0.00028232470870560004,True,True
29,glycogen synthase kinase inhibitor,0.36628073110533366,9.999000099990002e-05,0.00028232470870560004,True,True
30,hepatocyte growth factor receptor inhibitor,0.09107228331607835,0.0374962503749625,0.04864378427022162,True,True
31,histone lysine demethylase inhibitor,0.25376141724680734,0.0011998800119988001,0.0025997400259974,True,True
32,histone lysine methyltransferase inhibitor,0.31042519010376374,0.00019998000199980003,0.00047995200479952006,True,True
33,hypoxia inducible factor inhibitor,0.20450326823372914,0.0023997600239976003,0.004266240042662401,True,True
34,inosine monophosphate dehydrogenase inhibitor,0.39027517004795576,9.999000099990002e-05,0.00028232470870560004,True,True
35,kinesin inhibitor,0.6114123354358432,9.999000099990002e-05,0.00028232470870560004,True,True
36,mTOR inhibitor,0.3787215505286156,9.999000099990002e-05,0.00028232470870560004,True,True
37,p38 MAPK inhibitor,0.33786379583345544,9.999000099990002e-05,0.00028232470870560004,True,True
38,phosphodiesterase inhibitor,0.022016572242370795,0.5912408759124088,0.5912408759124088,False,False
39,phosphoinositide dependent kinase inhibitor,0.3096643872659498,0.00019998000199980003,0.00047995200479952006,True,True
40,phospholipase inhibitor,0.19801792805136756,0.0027997200279972004,0.0047995200479952005,True,True
41,protein arginine N-methyltransferase inhibitor,0.08111329510848647,0.0491950804919508,0.06054779137470868,True,False
42,protein tyrosine kinase inhibitor,0.0633432287753993,0.07479252074792521,0.08975102489751025,False,False
43,pyruvate dehydrogenase kinase inhibitor,0.20610345216716822,0.0023997600239976003,0.004266240042662401,True,True
44,smoothened receptor agonist,0.2479694156134261,0.0012998700129987,0.0025997400259974,True,True
45,tricyclic antidepressant,0.023181142560175384,0.5432456754324567,0.5548040940586793,False,False
46,tumor necrosis factor production inhibitor,0.03291496851415641,0.27747225277472254,0.31074101892136363,False,False
47,ubiquitin specific protease inhibitor,0.0842166435419341,0.046795320467953205,0.05910987848583563,True,False
