,Metadata_MoA,mean_average_precision,p_value,corrected_p_value,below_p,below_corrected_p
0,AMPK inhibitor,0.1956734006955035,0.0086991300869913,0.014912794434842228,True,True
1,Apoptosis inducer (ATP-competitive kinase inhibitor),0.24194340318223317,0.008099190080991902,0.014398560143985602,True,True
2,Apoptosis inducer (transcription inhibitor),0.5489087301587301,0.00019998000199980003,0.0006399360063993601,True,True
3,Aurora kinase inhibitor,0.47482637480355083,9.999000099990002e-05,0.00034282286057108575,True,True
4,BCL inhibitor,0.26108211466813325,0.0006999300069993001,0.0017682442282087583,True,True
5,Bcr-Abl kinase inhibitor,0.2887483967193665,0.00039996000399960006,0.0011292988348224002,True,True
6,CDC inhibitor,0.23157875994924637,0.0013998600139986002,0.0030542400305424004,True,True
7,CDK inhibitor,0.3094361982315836,0.00029997000299970003,0.0008999100089991002,True,True
8,CHK inhibitor,0.45179159006044306,9.999000099990002e-05,0.00034282286057108575,True,True
9,DNA inhibitor,0.11274005691353575,0.022497750224977502,0.03085405745139772,True,True
10,EGFR inhibitor,0.1522850592056924,0.018098190180981903,0.027597240275972403,True,True
11,ER stressor (SERCA inhibitor),0.9513888888888888,9.999000099990002e-05,0.00034282286057108575,True,True
12,FGFR inhibitor,0.37178157239550635,9.999000099990002e-05,0.00034282286057108575,True,True
13,HDAC inhibitor,0.3532808406093598,9.999000099990002e-05,0.00034282286057108575,True,True
14,HMGCR inhibitor,0.03132130997100184,0.29327067293270676,0.2995104744844665,False,False
15,IGF-1 inhibitor,0.9198336881372595,9.999000099990002e-05,0.00034282286057108575,True,True
16,JAK inhibitor,0.06225446000771798,0.07579242075792421,0.09328297939436826,False,False
17,JNK inhibitor,0.048078501040013835,0.1232876712328767,0.14433678583361176,False,False
18,LXR agonist,0.5231559468729219,9.999000099990002e-05,0.00034282286057108575,True,True
19,MAP kinase inhibitor,0.1370002896135673,0.0183981601839816,0.027597240275972403,True,True
20,MEK inhibitor,0.21613005208373415,0.0017998200179982,0.0035996400359964,True,True
21,MoA,0.08428744668892785,0.22147785221477853,0.24161220241612205,False,False
22,PARP inhibitor,0.22020177283937958,0.0016998300169983002,0.0035474713398225394,True,True
23,RAF inhibitor,0.4596232339026761,9.999000099990002e-05,0.00034282286057108575,True,True
24,acetylcholine receptor antagonist,0.09238307550393894,0.034896510348965105,0.04407980254606119,True,True
25,androgen receptor modulator,0.029797854149690387,0.3261673832616738,0.3261673832616738,False,False
26,antihistamine,0.03165648564648951,0.28557144285571445,0.2979875925450933,False,False
27,beta-catenin inhibitor,0.1660575438625942,0.0110988901109889,0.018370576735429904,True,True
28,bromodomain inhibitor,0.824756533277496,9.999000099990002e-05,0.00034282286057108575,True,True
29,glycogen synthase kinase inhibitor,0.4856757388718371,9.999000099990002e-05,0.00034282286057108575,True,True
30,hepatocyte growth factor receptor inhibitor,0.23957829338791728,0.0012998700129987,0.002971131458282743,True,True
31,histone lysine demethylase inhibitor,0.24957179329560847,0.0010998900109989002,0.0026397360263973606,True,True
32,histone lysine methyltransferase inhibitor,0.1936028278067062,0.0026997300269973002,0.004984116972918093,True,True
33,hypoxia inducible factor inhibitor,0.10982489582238414,0.023397660233976603,0.031196880311968805,True,True
34,inosine monophosphate dehydrogenase inhibitor,0.9475166202844774,9.999000099990002e-05,0.00034282286057108575,True,True
35,kinesin inhibitor,0.41818396614914577,9.999000099990002e-05,0.00034282286057108575,True,True
36,mTOR inhibitor,0.6797992162155303,9.999000099990002e-05,0.00034282286057108575,True,True
37,p38 MAPK inhibitor,0.12636715823113426,0.019598040195980403,0.027667821453148802,True,True
38,phosphodiesterase inhibitor,0.038430529589466286,0.1937806219378062,0.21631325239569063,False,False
39,phosphoinositide dependent kinase inhibitor,0.4297408089250583,9.999000099990002e-05,0.00034282286057108575,True,True
40,phospholipase inhibitor,0.19358994376399008,0.0026997300269973002,0.004984116972918093,True,True
41,protein arginine N-methyltransferase inhibitor,0.12684191247942525,0.019498050194980503,0.027667821453148802,True,True
42,protein tyrosine kinase inhibitor,0.050661529168830745,0.1126887311268873,0.13522647735226476,False,False
43,pyruvate dehydrogenase kinase inhibitor,0.2727030012498292,0.0004999500049995,0.001333200013332,True,True
44,smoothened receptor agonist,0.15888796273012237,0.0160983901609839,0.02575742425757424,True,True
45,tricyclic antidepressant,0.0473188741099964,0.12758724127587243,0.1458139900295685,False,False
46,tumor necrosis factor production inhibitor,0.03474847414584111,0.23877612238776122,0.2546945305469453,False,False
47,ubiquitin specific protease inhibitor,0.10741506708243087,0.024697530246975304,0.032040039239319314,True,True
