,Metadata_broad_sample,mean_average_precision,indices,p_value,corrected_p_value,below_p,below_corrected_p
0,BRD-A12994259-001-11-9,0.11123772815128267,"[72, 152, 209, 319]",0.028397160283971604,0.041138743268530294,True,True
1,BRD-A22769835-300-05-7,0.010965474179758045,"[30, 119, 155, 327]",0.6129387061293871,0.6340745235821246,False,False
2,BRD-A53576514-048-02-8,0.12212315503303109,"[36, 62, 219, 287]",0.023697630236976304,0.03554644535546446,True,True
3,BRD-A87435144-001-01-6,0.09196392205951147,"[11, 261, 316, 332]",0.034396560343965606,0.04762600663010622,True,True
4,BRD-K00818915-001-02-9,0.046515945598244575,"[67, 85, 90, 143]",0.08819118088191182,0.11846576536376213,False,False
5,BRD-K01826510-001-09-9,0.0354565709463584,"[13, 79, 238, 307]",0.1255874412558744,0.16380970598592312,False,False
6,BRD-K02965346-001-01-8,1.0,"[8, 26, 190, 300]",9.999000099990002e-05,0.0002571171454283143,True,True
7,BRD-K03063480-001-08-9,0.7405753968253969,"[86, 107, 180, 245]",9.999000099990002e-05,0.0002571171454283143,True,True
8,BRD-K04923131-001-17-9,0.6870879120879121,"[95, 175, 242, 302]",9.999000099990002e-05,0.0002571171454283143,True,True
9,BRD-K06182768-001-02-3,0.01878827831620809,"[15, 140, 170, 311]",0.30256974302569745,0.34039096090390963,False,False
10,BRD-K06883221-001-02-9,0.011239871284072675,"[32, 206, 283, 326]",0.5918408159184082,0.6193682957285667,False,False
11,BRD-K09372874-001-02-9,1.0,"[14, 40, 108, 303]",9.999000099990002e-05,0.0002571171454283143,True,True
12,BRD-K12511835-003-03-9,0.8694444444444445,"[187, 205, 273, 294]",9.999000099990002e-05,0.0002571171454283143,True,True
13,BRD-K12737986-001-01-4,0.030150878805926304,"[121, 207, 284, 328]",0.15828417158284172,0.19785521447855214,False,False
14,BRD-K13094524-001-10-9,0.6296642092278282,"[99, 174, 334, 357]",9.999000099990002e-05,0.0002571171454283143,True,True
15,BRD-K13606314-001-02-9,0.020182218513662156,"[5, 126, 191, 352]",0.2746725327467253,0.31291807528107946,False,False
16,BRD-K16189898-001-26-9,1.0,"[45, 112, 148, 168]",9.999000099990002e-05,0.0002571171454283143,True,True
17,BRD-K16803204-001-02-9,0.02456370159385761,"[169, 178, 246, 333]",0.2096790320967903,0.25161483851614835,False,False
18,BRD-K17953061-001-05-1,0.6898656898656899,"[132, 274, 323, 353]",9.999000099990002e-05,0.0002571171454283143,True,True
19,BRD-K19477839-001-10-9,0.010779116821417939,"[1, 59, 208, 340]",0.6261373862613738,0.6403677814036778,False,False
20,BRD-K19871656-001-01-3,1.0,"[74, 92, 133, 186]",9.999000099990002e-05,0.0002571171454283143,True,True
21,BRD-K20290250-001-03-9,0.29158727979409066,"[83, 136, 183, 255]",0.009599040095990401,0.01678678286017552,True,True
22,BRD-K21728777-001-03-9,1.0,"[21, 124, 279, 354]",9.999000099990002e-05,0.0002571171454283143,True,True
23,BRD-K23383398-001-08-1,0.9583333333333334,"[65, 128, 134, 247]",9.999000099990002e-05,0.0002571171454283143,True,True
24,BRD-K24600306-003-02-9,0.04448108355996827,"[38, 237, 257, 318]",0.09269073092690731,0.12267890857973027,False,False
25,BRD-K24696047-001-03-9,0.5790053960180563,"[66, 84, 87, 103]",9.999000099990002e-05,0.0002571171454283143,True,True
26,BRD-K25433859-003-03-1,0.13613087896332657,"[159, 220, 280, 288]",0.0201979802019798,0.030810478274206476,True,True
