,Metadata_MoA,mean_average_precision,p_value,corrected_p_value,below_p,below_corrected_p
0,AMPK inhibitor,0.9027777777777777,9.999000099990002e-05,0.0006856457211421715,True,True
1,Apoptosis inducer (ATP-competitive kinase inhibitor),0.2740009402760479,0.007899210078992101,0.014398560143985602,True,True
2,Apoptosis inducer (transcription inhibitor),0.2581626600304761,0.008099190080991902,0.014398560143985602,True,True
3,Aurora kinase inhibitor,0.2403482344496049,0.0012998700129987,0.0038996100389961,True,True
4,BCL inhibitor,0.16986856205140308,0.008599140085991401,0.014741383004556687,True,True
5,Bcr-Abl kinase inhibitor,0.13539577039076314,0.018598140185981403,0.026328795691859388,True,True
6,CDC inhibitor,0.18328827790565455,0.004199580041995801,0.008764340957208627,True,True
7,CDK inhibitor,0.16837835679269073,0.0100989901009899,0.01671556982232811,True,True
8,CHK inhibitor,0.672418654233255,9.999000099990002e-05,0.0006856457211421715,True,True
9,DNA inhibitor,0.06841345952389764,0.0628937106289371,0.07187852643307098,False,False
10,EGFR inhibitor,0.22332940798109177,0.0015998400159984002,0.0040417010930485905,True,True
11,ER stressor (SERCA inhibitor),0.25882790128314426,0.008099190080991902,0.014398560143985602,True,True
12,FGFR inhibitor,0.22529759882438882,0.0014998500149985001,0.003999600039996,True,True
13,HDAC inhibitor,0.17556046965019464,0.006199380061993801,0.012398760123987601,True,True
14,HMGCR inhibitor,0.07081757479499447,0.058894110588941104,0.06894920264071154,False,False
15,IGF-1 inhibitor,0.6801051315508414,9.999000099990002e-05,0.0006856457211421715,True,True
16,JAK inhibitor,0.10406566786204277,0.026297370262973702,0.0332177308584931,True,True
17,JNK inhibitor,0.04355717094570509,0.1506849315068493,0.15389099387933547,False,False
18,LXR agonist,0.299758818570944,0.00039996000399960006,0.0017452800174528004,True,True
19,MAP kinase inhibitor,0.1318041115345664,0.0188981101889811,0.026328795691859388,True,True
20,MEK inhibitor,0.15699789817355017,0.017198280171982803,0.026097390260973904,True,True
21,MoA,0.134263461509009,0.0173982601739826,0.026097390260973904,True,True
22,PARP inhibitor,0.18673908116403984,0.0033996600339966003,0.007417440074174401,True,True
23,RAF inhibitor,0.08633854672130006,0.0420957904209579,0.05051494850514948,True,False
24,acetylcholine receptor antagonist,0.12375865204201346,0.0201979802019798,0.026930640269306402,True,True
25,androgen receptor modulator,0.045495197899080284,0.13788621137886212,0.14388126404750828,False,False
26,antihistamine,0.09753298159623285,0.030296970302969704,0.037288578834424255,True,True
27,beta-catenin inhibitor,0.1297918403604488,0.019198080191980802,0.026328795691859388,True,True
28,bromodomain inhibitor,0.4577967600370053,9.999000099990002e-05,0.0006856457211421715,True,True
29,glycogen synthase kinase inhibitor,0.29773265886765343,0.00039996000399960006,0.0017452800174528004,True,True
30,hepatocyte growth factor receptor inhibitor,0.2377014536514971,0.0012998700129987,0.0038996100389961,True,True
31,histone lysine demethylase inhibitor,0.2960086970461628,0.00039996000399960006,0.0017452800174528004,True,True
32,histone lysine methyltransferase inhibitor,0.1954971850428643,0.0023997600239976003,0.005485165769137372,True,True
33,hypoxia inducible factor inhibitor,0.25270111978977416,0.0010998900109989002,0.0038996100389961,True,True
34,inosine monophosphate dehydrogenase inhibitor,0.23061698794471375,0.0013998600139986002,0.0039525459218784,True,True
35,kinesin inhibitor,0.30426581269327474,0.00039996000399960006,0.0017452800174528004,True,True
36,mTOR inhibitor,0.4134106472507741,9.999000099990002e-05,0.0006856457211421715,True,True
37,p38 MAPK inhibitor,0.04272685167199845,0.1563843615638436,0.1563843615638436,False,False
38,phosphodiesterase inhibitor,0.06510645088519006,0.06979302069793021,0.07613784076137842,False,False
39,phosphoinositide dependent kinase inhibitor,0.4671983389792458,9.999000099990002e-05,0.0006856457211421715,True,True
40,phospholipase inhibitor,0.20035071921344283,0.0021997800219978004,0.005279472052794721,True,True
41,protein arginine N-methyltransferase inhibitor,0.11222047858865582,0.0225977402259774,0.0293159873201869,True,True
42,protein tyrosine kinase inhibitor,0.16707005984355233,0.010498950104989501,0.016798320167983202,True,True
43,pyruvate dehydrogenase kinase inhibitor,0.32839348473979857,9.999000099990002e-05,0.0006856457211421715,True,True
44,smoothened receptor agonist,0.2706671183188308,0.0004999500049995,0.001999800019998,True,True
45,tricyclic antidepressant,0.24669239448489186,0.0011998800119988001,0.0038996100389961,True,True
46,tumor necrosis factor production inhibitor,0.06523194713498372,0.0694930506949305,0.07613784076137842,False,False
47,ubiquitin specific protease inhibitor,0.04863326234533155,0.1207879212078792,0.1288404492884045,False,False
