,Metadata_broad_sample,mean_average_precision,indices,p_value,corrected_p_value,below_p,below_corrected_p
0,BRD-A12994259-001-11-9,0.016540143149460666,"[72, 152, 209, 319]",0.36876312368763126,0.414291904142919,False,False
1,BRD-A22769835-300-05-7,0.016619685947390557,"[30, 119, 155, 327]",0.36676332366763326,0.414291904142919,False,False
2,BRD-A53576514-048-02-8,0.11213564801334294,"[36, 62, 219, 287]",0.027897210278972105,0.039853157541388726,True,True
3,BRD-A87435144-001-01-6,0.14438900937482255,"[11, 261, 316, 332]",0.017998200179982,0.02655472157702262,True,True
4,BRD-K00818915-001-02-9,0.17637015906737907,"[67, 85, 90, 143]",0.011898810118988102,0.018787594924718057,True,True
5,BRD-K01826510-001-09-9,0.035723836577834595,"[13, 79, 238, 307]",0.12418758124187582,0.16681913898162423,False,False
6,BRD-K02965346-001-01-8,0.34917105310985275,"[8, 26, 190, 300]",0.0024997500249975004,0.004786755367016489,True,True
7,BRD-K03063480-001-08-9,1.0,"[86, 107, 180, 245]",9.999000099990002e-05,0.0002999700029997001,True,True
8,BRD-K04923131-001-17-9,0.6309523809523809,"[95, 175, 242, 302]",0.00019998000199980003,0.000438980492194683,True,True
9,BRD-K06182768-001-02-3,0.06620805633327506,"[15, 140, 170, 311]",0.053094690530946904,0.07240185072401852,False,False
10,BRD-K06883221-001-02-9,0.012483838508793478,"[32, 206, 283, 326]",0.5275472452754725,0.5457385295953163,False,False
11,BRD-K09372874-001-02-9,0.8143601190476191,"[14, 40, 108, 303]",9.999000099990002e-05,0.0002999700029997001,True,True
12,BRD-K12511835-003-03-9,1.0,"[187, 205, 273, 294]",9.999000099990002e-05,0.0002999700029997001,True,True
13,BRD-K12737986-001-01-4,0.010929322398531813,"[121, 207, 284, 328]",0.6179382061793821,0.6319822563198226,False,False
14,BRD-K13094524-001-10-9,0.6732982295482296,"[99, 174, 334, 356]",0.00019998000199980003,0.000438980492194683,True,True
15,BRD-K13606314-001-02-9,0.01958668359305386,"[5, 126, 191, 351]",0.2913708629137086,0.34056334626277635,False,False
16,BRD-K16189898-001-26-9,1.0,"[45, 112, 148, 168]",9.999000099990002e-05,0.0002999700029997001,True,True
17,BRD-K16803204-001-02-9,0.028034633804500667,"[169, 178, 246, 333]",0.17938206179382063,0.22422757724227577,False,False
18,BRD-K17953061-001-05-1,0.9791666666666666,"[132, 274, 323, 352]",9.999000099990002e-05,0.0002999700029997001,True,True
19,BRD-K19477839-001-10-9,0.023450084474070654,"[1, 59, 208, 339]",0.22697730226977303,0.27983503019561057,False,False
20,BRD-K19871656-001-01-3,0.9666666666666667,"[74, 92, 133, 186]",9.999000099990002e-05,0.0002999700029997001,True,True
21,BRD-K20290250-001-03-9,0.23761003641063613,"[83, 136, 183, 255]",0.006899310068993101,0.011498850114988501,True,True
22,BRD-K21728777-001-03-9,1.0,"[21, 124, 279, 353]",9.999000099990002e-05,0.0002999700029997001,True,True
23,BRD-K23383398-001-08-1,0.3003147790555369,"[65, 128, 134, 247]",0.0065993400659934,0.011498850114988501,True,True
24,BRD-K24600306-003-02-9,0.021948221564551448,"[38, 237, 257, 318]",0.24877512248775122,0.29853014698530145,False,False
25,BRD-K24696047-001-03-9,0.5264509718129778,"[66, 84, 87, 103]",0.00019998000199980003,0.000438980492194683,True,True
26,BRD-K25433859-003-03-1,0.01383081474891893,"[159, 220, 280, 288]",0.46045395460453953,0.4933435227905781,False,False
27,BRD-K25611237-001-09-9,0.12850745372918643,"[217, 239, 315, 322]",0.0198980101989801,0.028884208353358212,True,True
28,BRD-K28936863-051-14-0,0.010228789839216462,"[60, 94, 301, 345]",0.6733326667333267,0.6808982023146,False,False
