,Metadata_broad_sample,mean_average_precision,indices,p_value,corrected_p_value,below_p,below_corrected_p
0,BRD-A12994259-001-11-9,0.2558751542575072,"[77, 162, 222, 339]",0.24577542245775422,0.2982075125820751,False,False
1,BRD-A22769835-300-05-7,0.15931218978819597,"[32, 127, 165, 348]",0.519048095190481,0.5367452143674522,False,False
2,BRD-A53576514-048-02-8,0.3335751054501055,"[38, 67, 233, 306]",0.15078492150784922,0.19886127329296058,False,False
3,BRD-A87435144-001-01-6,0.8500000000000001,"[11, 278, 335, 354]",0.0013998600139986002,0.002653901276539013,True,True
4,BRD-K00818915-001-02-9,0.248718917391518,"[72, 91, 96, 153]",0.257974202579742,0.30889016361521743,False,False
5,BRD-K01826510-001-09-9,0.5228863728863729,"[13, 85, 254, 326]",0.035996400359964,0.05551987174163939,True,False
6,BRD-K02965346-001-01-8,1.0,"[8, 28, 201, 319]",9.999000099990002e-05,0.00022747725227477254,True,True
7,BRD-K03063480-001-08-9,1.0,"[92, 114, 191, 261]",9.999000099990002e-05,0.00022747725227477254,True,True
8,BRD-K04923131-001-17-9,1.0,"[101, 186, 258, 321]",9.999000099990002e-05,0.00022747725227477254,True,True
9,BRD-K06182768-001-02-3,0.34017857142857144,"[15, 150, 181, 330]",0.14808519148085192,0.19817282977584594,False,False
10,BRD-K06883221-001-02-9,0.15665873478373477,"[34, 219, 301, 346]",0.5308469153084692,0.5367452143674522,False,False
11,BRD-K09372874-001-02-9,1.0,"[14, 43, 115, 322]",9.999000099990002e-05,0.00022747725227477254,True,True
12,BRD-K12511835-003-03-9,1.0,"[198, 218, 291, 313]",9.999000099990002e-05,0.00022747725227477254,True,True
13,BRD-K12737986-001-01-4,0.32685185185185184,"[129, 220, 302, 349]",0.1558844115588441,0.20264973502649733,False,False
14,BRD-K13094524-001-10-9,1.0,"[105, 185, 356, 380]",9.999000099990002e-05,0.00022747725227477254,True,True
15,BRD-K13606314-001-02-9,0.36920454545454545,"[5, 134, 202, 375]",0.1361863813618638,0.1861918285783362,False,False
16,BRD-K16189898-001-26-9,1.0,"[49, 120, 158, 179]",9.999000099990002e-05,0.00022747725227477254,True,True
17,BRD-K16803204-001-02-9,0.37427998520675865,"[180, 189, 262, 355]",0.1342865713428657,0.1861918285783362,False,False
18,BRD-K17953061-001-05-1,1.0,"[141, 292, 343, 376]",9.999000099990002e-05,0.00022747725227477254,True,True
19,BRD-K19477839-001-10-9,0.16809526435485517,"[1, 64, 221, 362]",0.48075192480751927,0.5146873547939324,False,False
20,BRD-K19871656-001-01-3,1.0,"[79, 98, 142, 197]",9.999000099990002e-05,0.00022747725227477254,True,True
21,BRD-K20290250-001-03-9,0.7242063492063492,"[89, 145, 194, 272]",0.007399260073992601,0.012469123458024568,True,True
22,BRD-K21728777-001-03-9,1.0,"[22, 132, 297, 377]",9.999000099990002e-05,0.00022747725227477254,True,True
23,BRD-K23383398-001-08-1,1.0,"[70, 136, 143, 263]",9.999000099990002e-05,0.00022747725227477254,True,True
24,BRD-K24600306-003-02-9,0.39085276787482665,"[41, 253, 274, 338]",0.12968703129687031,0.18439874762523747,False,False
25,BRD-K24696047-001-03-9,1.0,"[71, 90, 93, 110]",9.999000099990002e-05,0.00022747725227477254,True,True
26,BRD-K25433859-003-03-1,0.31479348137242874,"[169, 234, 298, 307]",0.1673832616738326,0.21453347622984179,False,False
27,BRD-K25611237-001-09-9,0.48471874129768866,"[231, 255, 334, 342]",0.05039496050394961,0.07396679686870022,False,False
28,BRD-K28936863-051-14-0,0.22373676142697882,"[65, 100, 320, 369]",0.30986901309869014,0.3498094634980946,False,False
29,BRD-K30707190-001-06-9,0.24054029304029304,"[257, 281, 318, 344]",0.2752724727527247,0.32115121821151216,False,False
30,BRD-K32730239-001-03-9,0.24281851904134513,"[118, 249, 271, 360]",0.2706729327067293,0.3198861931988619,False,False
31,BRD-K33818169-003-04-6,0.6048611111111111,"[193, 232, 315, 350]",0.017998200179982,0.02924707529247075,True,True
32,BRD-K36234266-001-10-6,0.11546312711358478,"[9, 102, 226, 383]",0.7802219778022198,0.7802219778022198,False,False
33,BRD-K37379014-001-02-0,1.0,"[63, 86, 137, 208]",9.999000099990002e-05,0.00022747725227477254,True,True
34,BRD-K38627885-001-01-9,1.0,"[20, 161, 238, 273]",9.999000099990002e-05,0.00022747725227477254,True,True
35,BRD-K39520573-001-01-2,0.2824013949013949,"[60, 167, 174, 265]",0.2004799520047995,0.2533843837838438,False,False
36,BRD-K39974922-001-05-9,1.0,"[73, 97, 172, 206]",9.999000099990002e-05,0.00022747725227477254,True,True
37,BRD-K44227013-001-15-9,1.0,"[88, 103, 283, 294]",9.999000099990002e-05,0.00022747725227477254,True,True
38,BRD-K45909031-001-03-9,0.9097222222222222,"[19, 31, 176, 214]",0.0006999300069993001,0.001384644144281224,True,True
39,BRD-K49669041-001-10-9,1.0,"[17, 47, 76, 164]",9.999000099990002e-05,0.00022747725227477254,True,True
40,BRD-K50055394-001-04-9,1.0,"[75, 168, 260, 299]",9.999000099990002e-05,0.00022747725227477254,True,True
41,BRD-K53665955-001-05-9,1.0,"[148, 205, 316, 373]",9.999000099990002e-05,0.00022747725227477254,True,True
42,BRD-K53972329-001-12-9,0.6797852474323063,"[16, 170, 177, 195]",0.011698830116988301,0.019356246193562462,True,True
43,BRD-K54759182-003-09-8,0.21320090584796467,"[2, 29, 94, 111]",0.33166683331666835,0.3680692906319124,False,False
44,BRD-K54955827-001-03-9,1.0,"[212, 236, 245, 361]",9.999000099990002e-05,0.00022747725227477254,True,True
45,BRD-K56301217-001-02-5,1.0,"[27, 69, 124, 296]",9.999000099990002e-05,0.00022747725227477254,True,True
46,BRD-K56932272-001-02-9,0.7871031746031747,"[40, 117, 279, 352]",0.0034996500349965005,0.006244473591856501,True,True
47,BRD-K57080016-001-19-1,1.0,"[59, 200, 227, 314]",9.999000099990002e-05,0.00022747725227477254,True,True
48,BRD-K60130390-001-02-1,0.8694444444444445,"[57, 152, 223, 266]",0.0006999300069993001,0.001384644144281224,True,True
49,BRD-K61397605-001-04-2,1.0,"[61, 74, 123, 154]",9.999000099990002e-05,0.00022747725227477254,True,True
50,BRD-K61688984-001-04-5,1.0,"[62, 157, 239, 282]",9.999000099990002e-05,0.00022747725227477254,True,True
51,BRD-K62391742-001-19-9,0.7999999999999999,"[0, 151, 327, 374]",0.0031996800319968005,0.005823417658234176,True,True
52,BRD-K63631219-001-01-6,0.15767627099148837,"[82, 250, 295, 379]",0.5283471652834717,0.5367452143674522,False,False
53,BRD-K64881305-001-07-9,1.0,"[45, 130, 240, 341]",9.999000099990002e-05,0.00022747725227477254,True,True
54,BRD-K66401437-001-03-3,1.0,"[131, 213, 256, 364]",9.999000099990002e-05,0.00022747725227477254,True,True
55,BRD-K66430217-001-05-9,0.275005305152364,"[35, 159, 204, 324]",0.21177882211778823,0.26399825770847574,False,False
56,BRD-K67578145-001-13-9,0.7676587301587302,"[25, 26, 203, 300]",0.0037996200379962005,0.006649335066493351,True,True
57,BRD-K67772619-001-06-9,0.2301143301143301,"[66, 230, 289, 331]",0.298970102989701,0.34438328319066824,False,False
58,BRD-K68756823-001-12-9,0.4014936330725804,"[56, 80, 329, 351]",0.12398760123987601,0.17909320179093202,False,False
59,BRD-K69023402-001-03-3,1.0,"[116, 199, 217, 368]",9.999000099990002e-05,0.00022747725227477254,True,True
60,BRD-K70446295-001-04-9,0.9583333333333333,"[178, 310, 333, 345]",0.00039996000399960006,0.0008665800086658001,True,True
61,BRD-K70578146-001-13-9,1.0,"[54, 269, 312, 337]",9.999000099990002e-05,0.00022747725227477254,True,True
62,BRD-K70642949-001-06-9,0.9513888888888888,"[3, 125, 196, 370]",0.00039996000399960006,0.0008665800086658001,True,True
63,BRD-K72898849-001-03-9,1.0,"[10, 188, 311, 367]",9.999000099990002e-05,0.00022747725227477254,True,True
64,BRD-K72951360-001-02-9,1.0,"[48, 147, 237, 276]",9.999000099990002e-05,0.00022747725227477254,True,True
65,BRD-K73397362-001-09-9,0.5174693362193362,"[4, 175, 251, 264]",0.0375962403759624,0.057020964570209644,True,False
66,BRD-K73982490-001-04-9,0.20160267470050078,"[78, 121, 155, 358]",0.36176382361763826,0.39663262589403714,False,False
67,BRD-K75009076-001-04-9,1.0,"[23, 160, 277, 372]",9.999000099990002e-05,0.00022747725227477254,True,True
68,BRD-K76908866-001-08-9,0.5733987077737077,"[44, 109, 235, 288]",0.022997700229977002,0.03671562668294574,True,True
69,BRD-K82164249-001-03-5,0.22322733918128654,"[135, 149, 244, 328]",0.3113688631136886,0.3498094634980946,False,False
70,BRD-K82941592-238-06-9,0.365625,"[6, 211, 366, 381]",0.13708629137086292,0.1861918285783362,False,False
71,BRD-K83192048-050-01-9,0.4890873015873015,"[190, 209, 225, 304]",0.04889511048895111,0.07294188613925494,True,False
72,BRD-K83607951-001-04-9,1.0,"[106, 138, 241, 287]",9.999000099990002e-05,0.00022747725227477254,True,True
73,BRD-K84937637-001-21-9,1.0,"[36, 112, 259, 275]",9.999000099990002e-05,0.00022747725227477254,True,True
74,BRD-K85606544-001-07-5,1.0,"[104, 133, 309, 378]",9.999000099990002e-05,0.00022747725227477254,True,True
75,BRD-K85776940-001-01-9,0.18839647194910353,"[52, 207, 280, 371]",0.40785921407859216,0.44184748191847484,False,False
76,BRD-K86118762-001-05-9,1.0,"[166, 184, 187, 357]",9.999000099990002e-05,0.00022747725227477254,True,True
77,BRD-K86718786-001-03-9,0.15875120250120248,"[7, 122, 144, 267]",0.5212478752124787,0.5367452143674522,False,False
78,BRD-K87632963-001-05-9,1.0,"[163, 183, 284, 340]",9.999000099990002e-05,0.00022747725227477254,True,True
79,BRD-K88677950-001-04-9,0.8694444444444445,"[113, 139, 252, 332]",0.0006999300069993001,0.001384644144281224,True,True
80,BRD-K91900765-001-09-9,0.5371031746031746,"[68, 126, 171, 248]",0.032996700329967,0.05177068500046547,True,False
81,BRD-K93942811-001-03-9,0.7583333333333333,"[37, 215, 228, 308]",0.003999600039996,0.006867237804521434,True,True
82,BRD-K94455792-001-01-8,0.8069444444444445,"[12, 128, 293, 317]",0.0024997500249975004,0.004642392903566787,True,True
83,BRD-K97452254-001-02-9,1.0,"[55, 242, 268, 323]",9.999000099990002e-05,0.00022747725227477254,True,True
84,BRD-K98203492-001-06-9,1.0,"[33, 58, 99, 224]",9.999000099990002e-05,0.00022747725227477254,True,True
85,BRD-K98251413-001-07-9,0.9055555555555556,"[87, 156, 286, 305]",0.0006999300069993001,0.001384644144281224,True,True
86,BRD-K99092662-001-02-9,0.16517887909192258,"[21, 95, 182, 192]",0.49325067493250674,0.5219280397541641,False,False
87,BRD-K99113996-001-02-0,1.0,"[83, 84, 246, 359]",9.999000099990002e-05,0.00022747725227477254,True,True
88,BRD-K99433989-001-02-9,0.8347222222222223,"[30, 51, 290, 363]",0.0013998600139986002,0.002653901276539013,True,True
89,BRD-M87138257-003-01-1,1.0,"[42, 50, 107, 325]",9.999000099990002e-05,0.00022747725227477254,True,True
90,control,0.0840733566068706,"[18, 24, 39, 46, 53, 81, 108, 119, 140, 146, 173, 210, 216, 229, 243, 247, 270, 285, 303, 336, 347, 353, 365, 382]",0.22617738226177383,0.2781370511597489,False,False
