Standard CP,CP + Phenovue phalloidin 400LS,Standard CP (exposed to ChromaLive),ChromaLive + Hoechst,Metadata_Well,CP + MitoBrilliant
4228,3979,3677,4041,H15,4198.0
3912,3969,3845,3883,H16,3884.0
2937,3356,2662,2901,H17,3228.0
3606,4018,3395,3956,H18,3649.0
1540,1549,1566,1599,H19,1702.0
3329,3126,2804,3030,H20,3360.0
2634,2723,2357,2480,H21,2807.0
4082,4457,3833,4022,H22,4335.0
4177,4336,3817,3999,H23,4291.0
244,224,238,336,H24,253.0
3842,3785,3660,3721,I01,4117.0
4208,4107,3968,3966,I02,4064.0
3952,3812,3787,3933,I03,4027.0
4269,4188,3849,3894,I04,3973.0
3131,2897,2834,2909,I05,3066.0
3097,3324,2784,3078,I06,3609.0
3098,3454,2986,3242,I07,3320.0
88,88,206,296,I08,83.0
3453,3529,3452,3685,I09,3544.0
1811,1917,1847,1936,I10,1973.0
3693,3815,3409,3993,I11,3829.0
4314,4371,4156,4267,I12,4373.0
4085,4230,3862,3856,I13,3794.0
2765,2559,2588,2653,I14,2704.0
3183,2930,3201,3257,I15,3219.0
4388,3926,4060,3989,I16,3911.0
493,520,623,615,I17,498.0
4050,4148,3994,3948,I18,4117.0
4276,4078,3816,3920,I19,4882.0
3782,4321,3856,3911,I20,4385.0
2179,2299,2381,2413,I21,2265.0
92,112,165,355,I22,117.0
3495,3858,3318,3149,I23,3574.0
3603,3585,3407,3641,I24,3471.0
3937,4102,3654,3734,J01,3975.0
128,74,209,458,J02,111.0
3277,3387,2962,3191,J03,3298.0
4030,4192,4101,4359,J04,3842.0
4110,3951,3734,3799,J05,4065.0
3840,4118,4062,3838,J06,4186.0
4096,4265,3845,3932,J07,4031.0
3463,4104,3309,3579,J08,3733.0
1358,1307,1320,1440,J09,1284.0
3833,4184,3887,3823,J10,4072.0
3917,4325,3925,3832,J11,4037.0
3330,3513,3162,3514,J12,3360.0
3542,3734,3099,3389,J13,3596.0
3978,3974,3595,3654,J14,3999.0
3812,3939,3459,3416,J15,3936.0
3474,3604,3318,3468,J16,3618.0
4324,4184,3502,3915,J17,3931.0
3971,3942,3595,3659,J18,4078.0
3945,3838,3717,3660,J19,3947.0
3913,4072,3591,3726,J20,3821.0
2174,2324,2481,2204,J21,2446.0
217,181,297,517,J22,201.0
2298,1922,2316,2225,J23,1990.0
2571,2601,2612,2744,J24,2662.0
425,401,508,717,K01,455.0
2900,3151,3231,3188,K02,3102.0
1924,2063,1974,2193,K03,2149.0
4057,4087,3771,3985,K04,4248.0
4033,4147,3734,3763,K05,4370.0
2294,2289,2493,2146,K06,2354.0
1389,1345,1344,1374,K07,1431.0
3760,3786,3635,3631,K08,3825.0
3782,3719,3513,3723,K09,3915.0
3643,3790,3240,3733,K10,3357.0
3708,3815,3493,3735,K11,3845.0
3779,3969,3728,3699,K12,3989.0
3478,3426,3522,3125,K13,3414.0
3729,3945,3569,3607,K14,3943.0
3855,3674,3650,3878,K15,3908.0
3482,3548,3197,3212,K16,3547.0
124,124,126,319,K17,116.0
3800,3742,3638,3766,K18,4197.0
1518,1426,1594,1624,K19,1579.0
2665,2575,2621,2583,K20,2757.0
3661,4147,3881,3929,K21,4035.0
252,268,289,406,K22,243.0
3842,4052,3682,4017,K23,4024.0
4029,3833,3547,3302,K24,3519.0
3710,4026,3168,3614,L01,4218.0
4130,4175,3847,3828,L02,4015.0
3853,3763,3440,3500,L03,3758.0
3933,3960,3416,3784,L04,4403.0
2026,2166,2090,2298,L05,2133.0
170,169,222,543,L06,169.0
4027,4210,3913,4085,L07,4194.0
3871,3994,3576,3826,L08,3775.0
3717,3915,3569,3765,L09,3827.0
2113,2254,2210,2291,L10,2253.0
3625,3908,3757,3778,L11,4015.0
2811,2669,2501,2443,L12,3069.0
223,193,293,510,L13,194.0
596,563,617,686,L14,596.0
3670,3281,3372,3436,L15,3594.0
2471,2442,2431,2454,L16,2628.0
3996,4195,3749,3711,L17,4002.0
4152,4139,3787,3863,L18,3771.0
2298,2511,2616,2607,L19,2495.0
272,298,355,610,L20,312.0
3874,3937,3640,3731,L21,3990.0
4058,4198,3955,4013,L22,4208.0
3787,4478,3941,4254,L23,3969.0
2939,3169,3137,3006,L24,3025.0
3732,3854,3481,3959,M01,3891.0
4126,4121,3694,3931,M02,4025.0
3833,4209,3705,3999,M03,3963.0
3216,3233,2812,3143,M04,3393.0
931,1225,1219,1175,M05,895.0
2965,3052,2873,2833,M06,3010.0
346,381,508,996,M07,434.0
3344,4217,3886,4108,M08,4205.0
2914,2898,3023,3111,M09,3063.0
756,741,1018,1105,M10,739.0
3715,4113,4014,3894,M11,4143.0
4012,4236,4080,3734,M12,3942.0
4232,4624,4309,4513,M13,4544.0
3894,4484,3905,3940,M14,4384.0
3802,3752,3773,3902,M15,4133.0
4086,4197,4244,3266,M16,4199.0
4126,4262,4063,4141,M17,4245.0
4365,4338,3944,4274,M18,4463.0
4390,4262,3908,4253,M19,4087.0
4095,3995,3850,3980,M20,4265.0
3624,3672,3443,3509,M21,3604.0
1696,1829,1882,1658,M22,1807.0
3690,4055,3514,3944,M23,3922.0
2849,2802,2227,2380,M24,2413.0
224,219,226,514,N01,311.0
3161,3524,2843,3196,N02,3378.0
3692,3642,3361,3613,N03,3677.0
4315,4243,3709,3945,N04,4320.0
2669,2664,2764,2875,N05,2884.0
2973,2973,2732,2938,N06,2984.0
3906,4037,3667,3580,N07,4298.0
1873,2023,1927,1974,N08,1998.0
4497,3991,3932,4130,N09,4072.0
1620,1645,1835,1734,N10,1573.0
1366,1458,1522,1495,N11,1362.0
2190,2345,2195,2072,N12,2258.0
4400,4022,3740,4006,N13,4060.0
76,70,94,345,N14,50.0
3911,3831,3934,3784,N15,4378.0
3676,3873,3355,3604,N16,3800.0
4159,4105,3831,4054,N17,3967.0
4194,4364,3656,4284,N18,3959.0
4105,3884,3845,3731,N19,4249.0
4101,4180,3790,3669,N20,4350.0
3853,3950,3269,3769,N21,3940.0
3683,3715,3544,3722,N22,3639.0
3622,3864,3289,3621,N23,3724.0
3745,3836,3371,3569,N24,3974.0
3786,4047,3295,3672,O01,3479.0
225,202,227,503,O02,242.0
3558,3909,3378,3856,O03,4017.0
4158,4270,3660,3401,O04,4020.0
3821,3782,3347,3492,O05,4189.0
468,474,550,718,O06,495.0
3055,3489,3172,3305,O07,3692.0
847,816,868,992,O08,838.0
3708,3875,3351,3693,O09,3850.0
3278,3726,3215,3132,O10,3257.0
3765,3999,3342,3475,O11,3767.0
4131,4019,3580,3830,O12,4098.0
3647,3964,3518,3994,O13,4151.0
3692,3992,3191,3402,O14,3782.0
3910,3528,3550,3408,O15,4102.0
3858,3800,3469,3566,O16,3885.0
2217,2398,2110,2179,O17,2323.0
3781,3816,3686,3863,O18,4145.0
3453,3485,3121,3258,O19,3398.0
3918,3872,3389,3867,O20,4026.0
3691,3696,3143,3817,O21,3720.0
3088,3129,2783,2974,O22,3196.0
3627,3658,3243,3776,O23,3747.0
1311,1484,1347,1314,O24,1391.0
3553,3437,2654,3385,P01,
1581,1650,1666,1466,P02,1655.0
3923,4037,3276,3688,P03,4166.0
3611,3665,2999,3458,P04,3825.0
108,88,84,419,P05,126.0
3976,3811,3394,3835,P06,4876.0
3985,4091,3046,3247,P07,3831.0
2387,2394,2126,2001,P08,2523.0
70,88,253,312,P09,94.0
3823,3700,3254,3468,P10,4037.0
3002,2678,2398,2482,P11,2743.0
3471,3546,3175,3573,P12,3883.0
508,518,594,629,P13,841.0
2338,2476,2319,2244,P14,2207.0
3346,3284,3199,3116,P15,3386.0
3695,3632,3000,3276,P16,3884.0
656,769,802,830,P17,802.0
673,712,885,843,P18,690.0
1635,1633,1594,1472,P19,1589.0
4017,3836,3428,3445,P20,3899.0
3634,3505,3094,3593,P21,3614.0
3835,3974,3041,3752,P22,3995.0
4043,4048,3336,3628,P23,4099.0
3610,3407,2996,3042,P24,3411.0
