,Metadata_MoA,mean_average_precision,p_value,corrected_p_value,below_p,below_corrected_p
0,AMPK inhibitor,0.10513754742203019,0.025197480251974803,0.032688623029588935,True,True
1,Apoptosis inducer (ATP-competitive kinase inhibitor),0.6898656898656899,9.999000099990002e-05,0.0002999700029997001,True,True
2,Apoptosis inducer (transcription inhibitor),0.4832902001380262,0.00019998000199980003,0.0005646494174112001,True,True
3,Aurora kinase inhibitor,0.42591203196305394,9.999000099990002e-05,0.0002999700029997001,True,True
4,BCL inhibitor,0.494427316115623,9.999000099990002e-05,0.0002999700029997001,True,True
5,Bcr-Abl kinase inhibitor,0.2896075322081344,0.00039996000399960006,0.0010104252732621476,True,True
6,CDC inhibitor,0.21112907996976107,0.0018998100189981002,0.0031445131348934075,True,True
7,CDK inhibitor,0.33060207935026953,9.999000099990002e-05,0.0002999700029997001,True,True
8,CHK inhibitor,0.3522006426898197,9.999000099990002e-05,0.0002999700029997001,True,True
9,DNA inhibitor,0.11108416969883071,0.022997700229977002,0.030663600306636004,True,True
10,EGFR inhibitor,0.2659269405505812,0.0006999300069993001,0.0015998400159984002,True,True
11,ER stressor (SERCA inhibitor),1.0,9.999000099990002e-05,0.0002999700029997001,True,True
12,FGFR inhibitor,0.5039035901120846,9.999000099990002e-05,0.0002999700029997001,True,True
13,HDAC inhibitor,0.3176316393369729,0.00029997000299970003,0.0007999200079992001,True,True
14,HMGCR inhibitor,0.09377142857587595,0.0331966803319668,0.041932648840379116,True,True
15,IGF-1 inhibitor,0.6428036815885383,9.999000099990002e-05,0.0002999700029997001,True,True
16,JAK inhibitor,0.047391784688032595,0.12688731126887312,0.14501407002156927,False,False
17,JNK inhibitor,0.0221583703992873,0.5774422557744225,0.5774422557744225,False,False
18,LXR agonist,0.4589247973730526,9.999000099990002e-05,0.0002999700029997001,True,True
19,MAP kinase inhibitor,0.18779562658224225,0.0031996800319968005,0.004799520047995201,True,True
20,MEK inhibitor,0.35975802966134246,9.999000099990002e-05,0.0002999700029997001,True,True
21,MoA,0.0840733566068706,0.22467753224677534,0.23965603439656036,False,False
22,PARP inhibitor,0.21509957575480856,0.0017998200179982,0.0031445131348934075,True,True
23,RAF inhibitor,0.20321954145875748,0.0020997900209979003,0.0032512877744483616,True,True
24,acetylcholine receptor antagonist,0.15511526860228775,0.017798220177982202,0.025888320258883202,True,True
25,androgen receptor modulator,0.036845090435487844,0.21337866213378662,0.23277672232776722,False,False
26,antihistamine,0.024516875577843423,0.48235176482351766,0.5033235806854097,False,False
27,beta-catenin inhibitor,0.13335076015562022,0.0187981201879812,0.026538522618326402,True,True
28,bromodomain inhibitor,0.8228707277905909,9.999000099990002e-05,0.0002999700029997001,True,True
29,glycogen synthase kinase inhibitor,0.4010560198387801,9.999000099990002e-05,0.0002999700029997001,True,True
30,hepatocyte growth factor receptor inhibitor,0.23517186486430203,0.0013998600139986002,0.002687731226877312,True,True
31,histone lysine demethylase inhibitor,0.24068067599629803,0.0012998700129987,0.0025997400259974,True,True
32,histone lysine methyltransferase inhibitor,0.25113128577302785,0.0010998900109989002,0.0023997600239976007,True,True
33,hypoxia inducible factor inhibitor,0.20985572315340556,0.0018998100189981002,0.0031445131348934075,True,True
34,inosine monophosphate dehydrogenase inhibitor,0.36974890444656977,9.999000099990002e-05,0.0002999700029997001,True,True
35,kinesin inhibitor,0.7306475952054023,9.999000099990002e-05,0.0002999700029997001,True,True
36,mTOR inhibitor,0.4906820202846955,9.999000099990002e-05,0.0002999700029997001,True,True
37,p38 MAPK inhibitor,0.2773440688947212,0.0004999500049995,0.0011998800119988001,True,True
38,phosphodiesterase inhibitor,0.023114051989044423,0.5336466353364664,0.5450008190670296,False,False
39,phosphoinositide dependent kinase inhibitor,0.35197062133987905,9.999000099990002e-05,0.0002999700029997001,True,True
40,phospholipase inhibitor,0.24453571517328737,0.0011998800119988001,0.0025040974163453218,True,True
41,protein arginine N-methyltransferase inhibitor,0.20595794107141527,0.001999800019998,0.0031996800319968,True,True
42,protein tyrosine kinase inhibitor,0.03912552850530186,0.18668133186681332,0.20838846347923345,False,False
43,pyruvate dehydrogenase kinase inhibitor,0.22577118177296376,0.0014998500149985001,0.002768953873843385,True,True
44,smoothened receptor agonist,0.12576191648243337,0.019698030196980302,0.027014441413001557,True,True
45,tricyclic antidepressant,0.05752354658752557,0.08849115088491151,0.10359939615794518,False,False
46,tumor necrosis factor production inhibitor,0.0632914385347349,0.07389261073892611,0.0909447516786783,False,False
47,ubiquitin specific protease inhibitor,0.05855889074078857,0.08549145085491451,0.10258974102589741,False,False
