,Metadata_broad_sample,mean_average_precision,p_value,corrected_p_value,below_p,below_corrected_p
0,BRD-A12994259-001-11-9,0.19386746151452033,0.38516148385161486,0.41234935329996414,False,False
1,BRD-A22769835-300-05-7,0.3181547619047619,0.16478352164783522,0.22381045477541797,False,False
2,BRD-A53576514-048-02-8,0.44267353017353017,0.0795920407959204,0.11142885711428856,False,False
3,BRD-A87435144-001-01-6,0.8972222222222223,0.0006999300069993001,0.0012488947183713001,True,True
4,BRD-K00818915-001-02-9,0.299443052074631,0.1802819718028197,0.23776318020371875,False,False
5,BRD-K01826510-001-09-9,0.2940737865194387,0.18488151184881513,0.24034596540345965,False,False
6,BRD-K02965346-001-01-8,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
7,BRD-K03063480-001-08-9,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
8,BRD-K04923131-001-17-9,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
9,BRD-K06182768-001-02-3,0.6799603174603175,0.010798920107989201,0.017240381225035392,True,True
10,BRD-K06883221-001-02-9,0.2330090741532389,0.2920707929207079,0.34517457345174574,False,False
11,BRD-K09372874-001-02-9,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
12,BRD-K12511835-003-03-9,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
13,BRD-K12737986-001-01-4,0.1483847512136986,0.5723427657234277,0.5918544509185445,False,False
14,BRD-K13094524-001-10-9,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
15,BRD-K13606314-001-02-9,0.3650613275613276,0.13858614138586142,0.19108089191080893,False,False
16,BRD-K16189898-001-26-9,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
17,BRD-K16803204-001-02-9,0.2308624124413598,0.2963703629637036,0.34576542345765426,False,False
18,BRD-K17953061-001-05-1,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
19,BRD-K19477839-001-10-9,0.15714158526658528,0.5283471652834717,0.5526389889746658,False,False
20,BRD-K19871656-001-01-3,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
21,BRD-K20290250-001-03-9,0.7509920634920635,0.0031996800319968005,0.0051994800519948,True,True
22,BRD-K21728777-001-03-9,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
23,BRD-K23383398-001-08-1,0.6102272727272727,0.017998200179982,0.027759935870819694,True,True
24,BRD-K24600306-003-02-9,0.23815487631277105,0.28057194280571945,0.33594798414895355,False,False
25,BRD-K24696047-001-03-9,0.9791666666666666,0.00039996000399960006,0.0007912252253035566,True,True
26,BRD-K25433859-003-03-1,0.13753962268668152,0.6323367663233677,0.6465465812969265,False,False
27,BRD-K25611237-001-09-9,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
28,BRD-K28936863-051-14-0,0.16049992405255561,0.5123487651234877,0.5421364840260161,False,False
29,BRD-K30707190-001-06-9,0.20054544489327097,0.3635636436356364,0.4034669703761331,False,False
30,BRD-K32730239-001-03-9,0.5779220779220778,0.0370962903709629,0.054447781028348775,True,False
31,BRD-K33818169-003-04-6,0.870436507936508,0.0006999300069993001,0.0012488947183713001,True,True
32,BRD-K36234266-001-10-6,0.19627752608015764,0.37876212378762125,0.41032563410325634,False,False
33,BRD-K37379014-001-02-0,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
34,BRD-K38627885-001-01-9,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
35,BRD-K39520573-001-01-2,0.6023809523809524,0.0197980201979802,0.02983308226554394,True,True
36,BRD-K39974922-001-05-9,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
37,BRD-K44227013-001-15-9,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
38,BRD-K45909031-001-03-9,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
39,BRD-K49669041-001-10-9,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
40,BRD-K50055394-001-04-9,0.8833333333333333,0.0006999300069993001,0.0012488947183713001,True,True
41,BRD-K53665955-001-05-9,0.7902777777777777,0.0021997800219978004,0.003639636036396361,True,True
42,BRD-K53972329-001-12-9,0.6001984126984127,0.019998000199980003,0.02983308226554394,True,True
43,BRD-K54759182-003-09-8,0.26576340326340325,0.2216778322167783,0.28412229199615247,False,False
44,BRD-K54955827-001-03-9,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
45,BRD-K56301217-001-02-5,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
46,BRD-K56932272-001-02-9,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
47,BRD-K57080016-001-19-1,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
48,BRD-K60130390-001-02-1,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
49,BRD-K61397605-001-04-2,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
50,BRD-K61688984-001-04-5,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
51,BRD-K62391742-001-19-9,0.8833333333333333,0.0006999300069993001,0.0012488947183713001,True,True
52,BRD-K63631219-001-01-6,0.229006919006919,0.30116988301169884,0.34691720701347584,False,False
53,BRD-K64881305-001-07-9,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
54,BRD-K66401437-001-03-3,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
55,BRD-K66430217-001-05-9,0.25176767676767675,0.25137486251374863,0.31770989567709895,False,False
56,BRD-K67578145-001-13-9,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
57,BRD-K67772619-001-06-9,0.11722890762936529,0.7615238476152385,0.7615238476152385,False,False
58,BRD-K68756823-001-12-9,0.4773141074611663,0.054394560543945605,0.07856992078569922,False,False
59,BRD-K69023402-001-03-3,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
60,BRD-K70446295-001-04-9,0.8312499999999999,0.0012998700129987,0.0022747725227477253,True,True
61,BRD-K70578146-001-13-9,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
62,BRD-K70642949-001-06-9,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
63,BRD-K72898849-001-03-9,1.0,9.999000099990002e-05,0.00020220200202202002,True,True
