,Metadata_broad_sample,mean_average_precision,indices,p_value,corrected_p_value,below_p,below_corrected_p
0,BRD-A12994259-001-11-9,0.026231504444204606,"[72, 152, 209, 319]",0.18958104189581043,0.24727961986410055,False,False
1,BRD-A22769835-300-05-7,0.017405278375991755,"[30, 119, 155, 327]",0.33456654334566543,0.36278299880855286,False,False
2,BRD-A53576514-048-02-8,0.034525142262814314,"[36, 62, 219, 287]",0.130986901309869,0.1964803519648035,False,False
3,BRD-A87435144-001-01-6,0.02665241590640913,"[11, 261, 316, 332]",0.18518148185181482,0.24509313774504904,False,False
4,BRD-K00818915-001-02-9,0.03576470919785338,"[67, 85, 90, 143]",0.12418758124187582,0.18943868325031904,False,False
5,BRD-K01826510-001-09-9,0.11138432895560345,"[13, 79, 238, 307]",0.028397160283971604,0.07516895369286601,True,False
6,BRD-K02965346-001-01-8,1.0,"[8, 26, 190, 300]",9.999000099990002e-05,0.0014998500149985003,True,True
7,BRD-K03063480-001-08-9,0.054865105123370936,"[86, 107, 180, 245]",0.0700929907009299,0.12616738326167382,False,False
8,BRD-K04923131-001-17-9,0.8560606060606061,"[95, 175, 242, 302]",9.999000099990002e-05,0.0014998500149985003,True,True
9,BRD-K06182768-001-02-3,0.019049612176008795,"[15, 140, 170, 311]",0.29717028297170284,0.34185189076029104,False,False
10,BRD-K06883221-001-02-9,0.03361912983219503,"[32, 206, 283, 326]",0.1357864213578642,0.20034062167553734,False,False
11,BRD-K09372874-001-02-9,0.06279022369289579,"[14, 40, 108, 303]",0.05849415058494151,0.1144450772314073,False,False
12,BRD-K12511835-003-03-9,0.1846048875966072,"[187, 205, 273, 294]",0.011398860113988602,0.04663170046631701,True,True
13,BRD-K12737986-001-01-4,0.02957645358195634,"[121, 207, 284, 328]",0.16248375162483752,0.22802335151100278,False,False
14,BRD-K13094524-001-10-9,0.020535101326357698,"[99, 174, 334, 357]",0.2673732626737326,0.3166262321136307,False,False
15,BRD-K13606314-001-02-9,0.010912705634894396,"[5, 126, 191, 352]",0.616938306169383,0.6309596313095963,False,False
16,BRD-K16189898-001-26-9,0.45632814825837875,"[45, 112, 148, 168]",0.00029997000299970003,0.0024543000245430004,True,True
17,BRD-K16803204-001-02-9,0.11991547964875109,"[169, 178, 246, 333]",0.025197480251974803,0.07086791320867913,True,False
