,Metadata_broad_sample,mean_average_precision,p_value,corrected_p_value,below_p,below_corrected_p
0,BRD-A12994259-001-11-9,0.16740895413496032,0.48175182481751827,0.5039013340045306,False,False
1,BRD-A22769835-300-05-7,0.5953252765752766,0.020997900209979003,0.042462420424624205,True,True
2,BRD-A53576514-048-02-8,0.18648809523809523,0.413958604139586,0.4593930850817357,False,False
3,BRD-A87435144-001-01-6,0.507449494949495,0.041195880411958805,0.07497650234976502,True,False
4,BRD-K00818915-001-02-9,0.47531400966183573,0.05579442055794421,0.09503494095034941,False,False
5,BRD-K01826510-001-09-9,0.44109686609686616,0.0806919308069193,0.13112438756124387,False,False
6,BRD-K02965346-001-01-8,1.0,9.999000099990002e-05,0.00064993500649935,True,True
7,BRD-K03063480-001-08-9,0.9313725490196079,0.00039996000399960006,0.0020220200202202003,True,True
8,BRD-K04923131-001-17-9,0.9791666666666666,0.00039996000399960006,0.0020220200202202003,True,True
9,BRD-K06182768-001-02-3,0.22808969539232696,0.30296970302969706,0.35346465353464657,False,False
10,BRD-K06883221-001-02-9,0.21322089947089948,0.33066693330666935,0.3761336366363364,False,False
11,BRD-K09372874-001-02-9,0.5497727272727273,0.028897110288971104,0.05716602252818197,True,False
12,BRD-K12511835-003-03-9,0.8643939393939394,0.000999900009999,0.00363963603639636,True,True
13,BRD-K12737986-001-01-4,0.23547560970161588,0.28617138286171384,0.3426525768475784,False,False
14,BRD-K13094524-001-10-9,0.4273809523809524,0.09519048095190481,0.15197076783549715,False,False
15,BRD-K13606314-001-02-9,0.1954975918275151,0.3818618138186181,0.4290052476233858,False,False
16,BRD-K16189898-001-26-9,0.8571428571428572,0.000999900009999,0.00363963603639636,True,True
17,BRD-K16803204-001-02-9,0.4028966131907309,0.12338766123387661,0.1903097825810639,False,False
18,BRD-K17953061-001-05-1,0.7294277360066834,0.0047995200479952005,0.014088913689276233,True,True
19,BRD-K19477839-001-10-9,0.21498316498316497,0.32666733326667335,0.3761336366363364,False,False
20,BRD-K19871656-001-01-3,0.5215520418693793,0.0352964703529647,0.06555058779836302,True,False
21,BRD-K20290250-001-03-9,0.7138125763125763,0.0072992700729927005,0.020128290201282904,True,True
22,BRD-K21728777-001-03-9,0.6680158730158731,0.010798920107989201,0.026559506211541007,True,True
23,BRD-K23383398-001-08-1,0.308733164983165,0.17198280171982802,0.22042866135921618,False,False
24,BRD-K24600306-003-02-9,0.78125,0.0021997800219978004,0.006672666066726661,True,True
25,BRD-K24696047-001-03-9,1.0,9.999000099990002e-05,0.00064993500649935,True,True
26,BRD-K25433859-003-03-1,0.9285714285714286,0.00039996000399960006,0.0020220200202202003,True,True
27,BRD-K25611237-001-09-9,0.5029987373737373,0.043695630436956304,0.0779667131326083,True,False
28,BRD-K28936863-051-14-0,0.6129528985507247,0.016998300169983,0.03515557535155575,True,True
29,BRD-K30707190-001-06-9,0.32061087061087057,0.16368363163683633,0.22042866135921618,False,False
30,BRD-K32730239-001-03-9,0.18084808709808708,0.43355664433556645,0.4753452365606813,False,False
31,BRD-K33818169-003-04-6,0.33950216450216447,0.15108489151084892,0.20831401708314018,False,False
32,BRD-K36234266-001-10-6,0.11547833258359574,0.7709229077092291,0.7794887177948872,False,False
33,BRD-K37379014-001-02-0,1.0,9.999000099990002e-05,0.00064993500649935,True,True
34,BRD-K38627885-001-01-9,1.0,9.999000099990002e-05,0.00064993500649935,True,True
35,BRD-K39520573-001-01-2,0.44154537089319695,0.08039196080391961,0.13112438756124387,False,False
36,BRD-K39974922-001-05-9,0.8348214285714286,0.000999900009999,0.00363963603639636,True,True
37,BRD-K44227013-001-15-9,1.0,9.999000099990002e-05,0.00064993500649935,True,True
38,BRD-K45909031-001-03-9,1.0,9.999000099990002e-05,0.00064993500649935,True,True
39,BRD-K49669041-001-10-9,0.6372015022015022,0.014698530146985302,0.03228010532280105,True,True
40,BRD-K50055394-001-04-9,0.47342908902691505,0.056394360563943605,0.09503494095034941,False,False
41,BRD-K53665955-001-05-9,0.31316088738689357,0.16928307169283072,0.22042866135921618,False,False
42,BRD-K53972329-001-12-9,0.24328541828541828,0.2706729327067293,0.3284164916841649,False,False
43,BRD-K54759182-003-09-8,0.3941137566137566,0.12968703129687031,0.19346753849205245,False,False
44,BRD-K54955827-001-03-9,0.8258928571428571,0.0012998700129987,0.004381043377143767,True,True
45,BRD-K56301217-001-02-5,0.39937378167641324,0.12768723127687232,0.19346753849205245,False,False
46,BRD-K56932272-001-02-9,0.7037719298245614,0.0086991300869913,0.02261773822617738,True,True
47,BRD-K57080016-001-19-1,0.37650111326581914,0.13458654134586542,0.19440278194402785,False,False
48,BRD-K60130390-001-02-1,1.0,9.999000099990002e-05,0.00064993500649935,True,True
49,BRD-K61397605-001-04-2,0.9375,0.00039996000399960006,0.0020220200202202003,True,True
50,BRD-K61688984-001-04-5,0.4838470507820353,0.05119488051194881,0.08959104089591041,False,False
51,BRD-K62391742-001-19-9,0.659057528622746,0.0117988201179882,0.028255069229919112,True,True
52,BRD-K63631219-001-01-6,0.415089051815058,0.11078892110788921,0.17382399691065378,False,False
53,BRD-K64881305-001-07-9,1.0,9.999000099990002e-05,0.00064993500649935,True,True
54,BRD-K66401437-001-03-3,1.0,9.999000099990002e-05,0.00064993500649935,True,True
55,BRD-K66430217-001-05-9,0.28379273504273506,0.1977802219778022,0.2465479479449315,False,False
56,BRD-K67578145-001-13-9,0.30974537037037037,0.1713828617138286,0.22042866135921618,False,False
57,BRD-K67772619-001-06-9,0.7122615066093327,0.0072992700729927005,0.020128290201282904,True,True
58,BRD-K68756823-001-12-9,0.17564469749252357,0.4520547945205479,0.48972602739726023,False,False
59,BRD-K69023402-001-03-3,0.8140838206627681,0.0012998700129987,0.004381043377143767,True,True
60,BRD-K70446295-001-04-9,0.38495624745624746,0.131986801319868,0.1937225632275482,False,False
61,BRD-K70578146-001-13-9,0.7817391304347826,0.0021997800219978004,0.006672666066726661,True,True
62,BRD-K70642949-001-06-9,1.0,9.999000099990002e-05,0.00064993500649935,True,True
63,BRD-K72898849-001-03-9,0.6463878713878713,0.013298670132986702,0.030254474552544746,True,True
64,BRD-K72951360-001-02-9,1.0,9.999000099990002e-05,0.00064993500649935,True,True
65,BRD-K73397362-001-09-9,0.8573607932875668,0.000999900009999,0.00363963603639636,True,True
66,BRD-K73982490-001-04-9,0.12100213245522169,0.7338266173382662,0.7503171031211485,False,False
67,BRD-K75009076-001-04-9,0.653931623931624,0.012898710128987101,0.030096990300969906,True,True
68,BRD-K76908866-001-08-9,0.9067028985507246,0.0006999300069993001,0.0031846815318468157,True,True
69,BRD-K82164249-001-03-5,0.2846586162375636,0.1967803219678032,0.2465479479449315,False,False
70,BRD-K82941592-238-06-9,0.1697937003084062,0.47485251474852513,0.5034124494527292,False,False
71,BRD-K83192048-050-01-9,0.5268849206349207,0.03469653034696531,0.06555058779836302,True,False
72,BRD-K83607951-001-04-9,0.31645459803354536,0.16698330166983302,0.22042866135921618,False,False
73,BRD-K84937637-001-21-9,0.855072463768116,0.000999900009999,0.00363963603639636,True,True
74,BRD-K85606544-001-07-5,0.881547619047619,0.0006999300069993001,0.0031846815318468157,True,True
75,BRD-K85776940-001-01-9,0.16942052099946836,0.4757524247575243,0.5034124494527292,False,False
76,BRD-K86118762-001-05-9,1.0,9.999000099990002e-05,0.00064993500649935,True,True
77,BRD-K86718786-001-03-9,0.14270935319696929,0.6036396360363964,0.6242182599921826,False,False
78,BRD-K87632963-001-05-9,0.5334325396825397,0.032296770322967704,0.06253204466787363,True,False
79,BRD-K88677950-001-04-9,0.22931166056166055,0.3000699930006999,0.35346465353464657,False,False
80,BRD-K91900765-001-09-9,0.34884612936083526,0.1456854314568543,0.20395960403959604,False,False
81,BRD-K93942811-001-03-9,0.3528373015873016,0.14288571142885712,0.2031656209379062,False,False
82,BRD-K94455792-001-01-8,0.6322324870118988,0.015398460153984602,0.032587438930525556,True,True
