Metadata_broad_sample,mean_average_precision,indices,p_value,corrected_p_value,below_p,below_corrected_p
BRD-A12994259-001-11-9,0.04318864281863237,"[72, 152, 209, 319]",0.09349065093490651,0.17134286571342866,False,False
BRD-A22769835-300-05-7,0.012560255299633907,"[30, 119, 155, 327]",0.5164483551644835,0.5404692088930642,False,False
BRD-A53576514-048-02-8,0.09138292799124957,"[36, 62, 219, 287]",0.0354964503549645,0.10305421070796146,True,False
BRD-A87435144-001-01-6,0.08068482422932893,"[11, 261, 316, 332]",0.041995800419958006,0.104989501049895,True,False
BRD-K00818915-001-02-9,0.0376801789730838,"[67, 85, 90, 143]",0.1131886811318868,0.18898110188981102,False,False
BRD-K01826510-001-09-9,0.021880763087892125,"[13, 79, 238, 307]",0.23977602239776022,0.29161948669997867,False,False
BRD-K02965346-001-01-8,0.7840331059960216,"[8, 26, 190, 300]",9.999000099990002e-05,0.0017998200179982003,True,True
BRD-K03063480-001-08-9,0.20961929642108545,"[86, 107, 180, 245]",0.0086991300869913,0.05219478052194781,True,False
BRD-K04923131-001-17-9,0.6745853870329461,"[95, 175, 242, 302]",9.999000099990002e-05,0.0017998200179982003,True,True
BRD-K06182768-001-02-3,0.015136418401611966,"[15, 140, 170, 311]",0.40275972402759724,0.43152827574385416,False,False
BRD-K06883221-001-02-9,0.03381381794193413,"[32, 206, 283, 326]",0.1316868313168683,0.20423381390674492,False,False
BRD-K09372874-001-02-9,0.02054305910903831,"[14, 40, 108, 303]",0.2615738426157384,0.302032296770323,False,False
BRD-K12511835-003-03-9,0.05992264698527623,"[187, 205, 273, 294]",0.062493750624937505,0.12403107515335424,False,False
BRD-K12737986-001-01-4,0.02831756362760702,"[121, 207, 284, 328]",0.16818318168183183,0.2328690207902287,False,False
BRD-K13094524-001-10-9,0.13103489452869702,"[99, 174, 334, 357]",0.021597840215978402,0.0778768277018452,True,False
BRD-K13606314-001-02-9,0.0973498342803449,"[5, 126, 191, 352]",0.032596740325967405,0.10302418034058662,True,False
BRD-K16189898-001-26-9,0.05262939870154378,"[45, 112, 148, 168]",0.0731926807319268,0.13723627637236277,False,False
BRD-K16803204-001-02-9,0.03568727780768546,"[169, 178, 246, 333]",0.12198780121987801,0.19605182338908966,False,False
BRD-K17953061-001-05-1,0.14481676155017115,"[132, 274, 323, 353]",0.0178982101789821,0.0778768277018452,True,False
BRD-K19477839-001-10-9,0.01592162614657959,"[1, 59, 208, 340]",0.37646235376462356,0.41829150418291505,False,False
BRD-K19871656-001-01-3,0.05494033386131198,"[74, 92, 133, 186]",0.0675932406759324,0.12943386512412589,False,False
BRD-K20290250-001-03-9,0.06441002125707185,"[83, 136, 183, 255]",0.055694430556944306,0.1165697383749997,False,False
BRD-K21728777-001-03-9,0.03907343587161689,"[21, 124, 279, 354]",0.10738926107389261,0.18586602878173725,False,False
BRD-K23383398-001-08-1,0.09130757731413029,"[65, 128, 134, 247]",0.0354964503549645,0.10305421070796146,True,False
BRD-K24600306-003-02-9,0.026459727613289838,"[38, 237, 257, 318]",0.18468153184681532,0.24167148502541047,False,False
BRD-K24696047-001-03-9,0.4599585769980507,"[66, 84, 87, 103]",0.00019998000199980003,0.0025711714542831434,True,True
BRD-K25433859-003-03-1,0.19396737772471717,"[159, 220, 280, 288]",0.0093990600939906,0.05286971302869713,True,False
BRD-K25611237-001-09-9,0.03993562265056947,"[217, 239, 315, 322]",0.10378962103789621,0.18315815477275801,False,False
BRD-K28936863-051-14-0,0.029963806919610467,"[60, 94, 301, 346]",0.1561843815618438,0.2231205450883483,False,False
BRD-K30707190-001-06-9,0.06457526247558623,"[241, 264, 299, 324]",0.05549445055494451,0.1165697383749997,False,False
BRD-K32730239-001-03-9,0.0871418863610271,"[111, 233, 254, 338]",0.0397960203979602,0.104989501049895,True,False
BRD-K33818169-003-04-6,0.12868956018459718,"[182, 218, 296, 329]",0.0221977802219778,0.0778768277018452,True,False
BRD-K36234266-001-10-6,0.03762964540362626,"[9, 96, 213, 359]",0.11338866113388661,0.18898110188981102,False,False
BRD-K37379014-001-02-0,0.037102012837598584,"[58, 80, 129, 197]",0.11628837116288371,0.1902900619029006,False,False
BRD-K38627885-001-01-9,0.3619262931132577,"[19, 151, 224, 256]",0.0017998200179982,0.016198380161983803,True,True
BRD-K39520573-001-01-2,0.08246733743929045,"[55, 157, 163, 249]",0.041195880411958805,0.104989501049895,True,False
BRD-K39974922-001-05-9,0.03156629577627223,"[68, 91, 162, 195]",0.14538546145385461,0.21450313984994943,False,False
BRD-K44227013-001-15-9,0.4453051328426141,"[82, 97, 266, 276]",0.0004999500049995,0.005624437556244376,True,True
BRD-K45909031-001-03-9,0.1798380614452043,"[18, 29, 165, 202]",0.011898810118988102,0.059494050594940506,True,False
BRD-K49669041-001-10-9,0.08569458166902683,"[17, 43, 71, 154]",0.0400959904009599,0.104989501049895,True,False
BRD-K50055394-001-04-9,0.015248237560544234,"[70, 158, 244, 281]",0.39866013398660133,0.43152827574385416,False,False
BRD-K53665955-001-05-9,0.03344343257424404,"[138, 194, 297, 350]",0.13388661133886612,0.20423381390674492,False,False
BRD-K53972329-001-12-9,0.03185373203593067,"[16, 160, 166, 184]",0.14388561143885611,0.21450313984994943,False,False
BRD-K54759182-003-09-8,0.1275426844457351,"[2, 27, 88, 104]",0.022497750224977502,0.0778768277018452,True,False
BRD-K54955827-001-03-9,0.02636299988539867,"[200, 222, 230, 339]",0.1852814718528147,0.24167148502541047,False,False
BRD-K56301217-001-02-5,0.012223197913640873,"[25, 64, 116, 278]",0.535046495350465,0.5534963745004811,False,False
BRD-K56932272-001-02-9,0.07198606971350625,"[37, 110, 262, 331]",0.049795020497950204,0.1165697383749997,True,False
