Metadata_broad_sample,mean_average_precision,indices,p_value,corrected_p_value,below_p,below_corrected_p
BRD-A12994259-001-11-9,0.18286620786620786,"[77, 162, 222, 339]",0.42545745425457454,0.46646540165260586,False,False
BRD-A22769835-300-05-7,0.595512418867682,"[32, 127, 165, 348]",0.020997900209979003,0.03474198034741981,True,True
BRD-A53576514-048-02-8,0.19799242424242425,"[38, 67, 233, 306]",0.37296270372962703,0.4138976346267812,False,False
BRD-A87435144-001-01-6,0.6597222222222222,"[11, 278, 335, 354]",0.0117988201179882,0.02385983623859836,True,True
BRD-K00818915-001-02-9,0.6426465455470032,"[72, 91, 96, 153]",0.013498650134986502,0.02559119088091191,True,True
BRD-K01826510-001-09-9,0.3697065848381638,"[13, 85, 254, 326]",0.1371862813718628,0.1809268348527466,False,False
BRD-K02965346-001-01-8,1.0,"[8, 28, 201, 319]",9.999000099990002e-05,0.00037912875379128753,True,True
BRD-K03063480-001-08-9,1.0,"[92, 114, 191, 261]",9.999000099990002e-05,0.00037912875379128753,True,True
BRD-K04923131-001-17-9,1.0,"[101, 186, 258, 321]",9.999000099990002e-05,0.00037912875379128753,True,True
BRD-K06182768-001-02-3,0.3183139083139083,"[15, 150, 181, 330]",0.16478352164783522,0.20541507493086308,False,False
BRD-K06883221-001-02-9,0.18016149510714727,"[34, 219, 301, 346]",0.43645635436456354,0.47282771722827716,False,False
BRD-K09372874-001-02-9,0.7752777777777777,"[14, 43, 115, 322]",0.0024997500249975004,0.006148033845264122,True,True
BRD-K12511835-003-03-9,0.875,"[198, 218, 291, 313]",0.0006999300069993001,0.0021231210212312103,True,True
BRD-K12737986-001-01-4,0.20876473063973064,"[129, 220, 302, 349]",0.34096590340965904,0.3830604593861602,False,False
BRD-K13094524-001-10-9,0.727046783625731,"[105, 185, 356, 380]",0.005599440055994401,0.012738726127387263,True,True
BRD-K13606314-001-02-9,0.1470352087999147,"[5, 134, 202, 375]",0.5822417758224178,0.5953258606723597,False,False
BRD-K16189898-001-26-9,0.783157894736842,"[49, 120, 158, 179]",0.0021997800219978004,0.005560555055605551,True,True
BRD-K16803204-001-02-9,0.31214432354138233,"[180, 189, 262, 355]",0.17018298170182983,0.20592677574347829,False,False
BRD-K17953061-001-05-1,1.0,"[141, 292, 343, 376]",9.999000099990002e-05,0.00037912875379128753,True,True
BRD-K19477839-001-10-9,0.161513949013949,"[1, 64, 221, 362]",0.5072492750724927,0.5245418639954186,False,False
BRD-K19871656-001-01-3,0.9666666666666667,"[79, 98, 142, 197]",0.00039996000399960006,0.001348013346813467,True,True
BRD-K20290250-001-03-9,0.6021825396825397,"[89, 145, 194, 272]",0.0197980201979802,0.033363330333633305,True,True
BRD-K21728777-001-03-9,0.7798039215686274,"[22, 132, 297, 377]",0.0021997800219978004,0.005560555055605551,True,True
BRD-K23383398-001-08-1,0.8032219973009447,"[70, 136, 143, 263]",0.0014998500149985001,0.004265198480151985,True,True
BRD-K24600306-003-02-9,0.7788461538461539,"[41, 253, 274, 338]",0.0021997800219978004,0.005560555055605551,True,True
