,Metadata_broad_sample,mean_average_precision,indices,p_value,corrected_p_value,below_p,below_corrected_p
0,BRD-A12994259-001-11-9,0.18286620786620786,"[77, 162, 222, 339]",0.42595740425957407,0.46701353960989445,False,False
1,BRD-A22769835-300-05-7,0.595512418867682,"[32, 127, 165, 348]",0.0201979802019798,0.033418476334184766,True,True
2,BRD-A53576514-048-02-8,0.19799242424242425,"[38, 67, 233, 306]",0.37236276372362764,0.41323184754695264,False,False
3,BRD-A87435144-001-01-6,0.6597222222222222,"[11, 278, 335, 354]",0.0122987701229877,0.02487084624870846,True,True
4,BRD-K00818915-001-02-9,0.6426465455470032,"[72, 91, 96, 153]",0.0131986801319868,0.025022497750224977,True,True
5,BRD-K01826510-001-09-9,0.3697065848381638,"[13, 85, 254, 326]",0.13588641135886412,0.17921251353125559,False,False
6,BRD-K02965346-001-01-8,1.0,"[8, 28, 201, 319]",9.999000099990002e-05,0.00037912875379128753,True,True
7,BRD-K03063480-001-08-9,1.0,"[92, 114, 191, 261]",9.999000099990002e-05,0.00037912875379128753,True,True
8,BRD-K04923131-001-17-9,1.0,"[101, 186, 258, 321]",9.999000099990002e-05,0.00037912875379128753,True,True
9,BRD-K06182768-001-02-3,0.3183139083139083,"[15, 150, 181, 330]",0.1620837916208379,0.20204965804789382,False,False
10,BRD-K06883221-001-02-9,0.18016149510714727,"[34, 219, 301, 346]",0.4373562643735626,0.4738026197380261,False,False
11,BRD-K09372874-001-02-9,0.7752777777777777,"[14, 43, 115, 322]",0.0037996200379962005,0.009345011444801467,True,True
12,BRD-K12511835-003-03-9,0.875,"[198, 218, 291, 313]",0.0006999300069993001,0.0021231210212312103,True,True
13,BRD-K12737986-001-01-4,0.20876473063973064,"[129, 220, 302, 349]",0.3418658134186581,0.38407146939627024,False,False
14,BRD-K13094524-001-10-9,0.727046783625731,"[105, 185, 356, 380]",0.0071992800719928,0.016378362163783623,True,True
15,BRD-K13606314-001-02-9,0.1470352087999147,"[5, 134, 202, 375]",0.5825417458254175,0.5956325715743033,False,False
16,BRD-K16189898-001-26-9,0.783157894736842,"[49, 120, 158, 179]",0.0034996500349965005,0.008846337588463376,True,True
17,BRD-K16803204-001-02-9,0.31214432354138233,"[180, 189, 262, 355]",0.16918308169183083,0.20484925191691356,False,False
18,BRD-K17953061-001-05-1,1.0,"[141, 292, 343, 376]",9.999000099990002e-05,0.00037912875379128753,True,True
19,BRD-K19477839-001-10-9,0.161513949013949,"[1, 64, 221, 362]",0.5078492150784921,0.5251622565016225,False,False
20,BRD-K19871656-001-01-3,0.9666666666666667,"[79, 98, 142, 197]",0.00039996000399960006,0.001348013346813467,True,True
21,BRD-K20290250-001-03-9,0.6021825396825397,"[89, 145, 194, 272]",0.018198180181981802,0.03066730364000637,True,True
22,BRD-K21728777-001-03-9,0.7798039215686274,"[22, 132, 297, 377]",0.0034996500349965005,0.008846337588463376,True,True
23,BRD-K23383398-001-08-1,0.8032219973009447,"[70, 136, 143, 263]",0.0031996800319968005,0.008846337588463376,True,True
24,BRD-K24600306-003-02-9,0.7788461538461539,"[41, 253, 274, 338]",0.0034996500349965005,0.008846337588463376,True,True
25,BRD-K24696047-001-03-9,1.0,"[71, 90, 93, 110]",9.999000099990002e-05,0.00037912875379128753,True,True
26,BRD-K25433859-003-03-1,0.928030303030303,"[169, 234, 298, 307]",0.00039996000399960006,0.001348013346813467,True,True
27,BRD-K25611237-001-09-9,0.8958333333333333,"[231, 255, 334, 342]",0.0006999300069993001,0.0021231210212312103,True,True
28,BRD-K28936863-051-14-0,0.6025955988455989,"[65, 100, 320, 369]",0.018198180181981802,0.03066730364000637,True,True
29,BRD-K30707190-001-06-9,0.5704365079365079,"[257, 281, 318, 344]",0.023397660233976603,0.03671012209123915,True,True
30,BRD-K32730239-001-03-9,0.17581283095988978,"[118, 249, 271, 360]",0.4527547245275472,0.48471388155302114,False,False
31,BRD-K33818169-003-04-6,0.6818181818181819,"[193, 232, 315, 350]",0.011498850114988501,0.023781712737817127,True,True
32,BRD-K36234266-001-10-6,0.11575991732725478,"[9, 102, 226, 383]",0.7769223077692231,0.7769223077692231,False,False
33,BRD-K37379014-001-02-0,1.0,"[63, 86, 137, 208]",9.999000099990002e-05,0.00037912875379128753,True,True
34,BRD-K38627885-001-01-9,1.0,"[20, 161, 238, 273]",9.999000099990002e-05,0.00037912875379128753,True,True
35,BRD-K39520573-001-01-2,0.34614346391806344,"[60, 167, 174, 265]",0.14478552144785523,0.1882211778822118,False,False
36,BRD-K39974922-001-05-9,0.709325452669106,"[73, 97, 172, 206]",0.0091990800919908,0.0199313401993134,True,True
37,BRD-K44227013-001-15-9,1.0,"[88, 103, 283, 294]",9.999000099990002e-05,0.00037912875379128753,True,True
38,BRD-K45909031-001-03-9,1.0,"[19, 31, 176, 214]",9.999000099990002e-05,0.00037912875379128753,True,True
39,BRD-K49669041-001-10-9,0.9666666666666667,"[17, 47, 76, 164]",0.00039996000399960006,0.001348013346813467,True,True
40,BRD-K50055394-001-04-9,0.5503105590062112,"[75, 168, 260, 299]",0.028497150284971504,0.04395323179546452,True,True
41,BRD-K53665955-001-05-9,0.5895566239316239,"[148, 205, 316, 373]",0.0211978802119788,0.03444655534446555,True,True
42,BRD-K53972329-001-12-9,0.369508547008547,"[16, 170, 177, 195]",0.13588641135886412,0.17921251353125559,False,False
43,BRD-K54759182-003-09-8,0.6243760064412238,"[2, 29, 94, 111]",0.015298470152984701,0.02677232276772323,True,True
44,BRD-K54955827-001-03-9,1.0,"[212, 236, 245, 361]",9.999000099990002e-05,0.00037912875379128753,True,True
45,BRD-K56301217-001-02-5,0.6376948051948051,"[27, 69, 124, 296]",0.013898610138986101,0.025295470452954702,True,True
46,BRD-K56932272-001-02-9,0.7033333333333334,"[40, 117, 279, 352]",0.010698930106989302,0.0226419218543262,True,True
47,BRD-K57080016-001-19-1,0.3725557855992639,"[59, 200, 227, 314]",0.1347865213478652,0.17921251353125559,False,False
48,BRD-K60130390-001-02-1,1.0,"[57, 152, 223, 266]",9.999000099990002e-05,0.00037912875379128753,True,True
49,BRD-K61397605-001-04-2,1.0,"[61, 74, 123, 154]",9.999000099990002e-05,0.00037912875379128753,True,True
50,BRD-K61688984-001-04-5,0.7569444444444444,"[62, 157, 239, 282]",0.0045995400459954,0.011014688004883722,True,True
51,BRD-K62391742-001-19-9,0.5861815619967794,"[0, 151, 327, 374]",0.0216978302169783,0.03464039560956185,True,True
52,BRD-K63631219-001-01-6,0.41604769964870586,"[82, 250, 295, 379]",0.10738926107389261,0.15034496550344967,False,False
53,BRD-K64881305-001-07-9,1.0,"[45, 130, 240, 341]",9.999000099990002e-05,0.00037912875379128753,True,True
54,BRD-K66401437-001-03-3,1.0,"[131, 213, 256, 364]",9.999000099990002e-05,0.00037912875379128753,True,True
55,BRD-K66430217-001-05-9,0.3210904735361257,"[35, 159, 204, 324]",0.16048395160483953,0.20204965804789382,False,False
56,BRD-K67578145-001-13-9,0.48393717393717395,"[25, 26, 203, 300]",0.05119488051194881,0.07394816073948161,False,False
