,Metadata_broad_sample,mean_average_precision,indices,p_value,corrected_p_value,below_p,below_corrected_p
0,BRD-A12994259-001-11-9,0.04051824483790352,"[72, 152, 209, 319]",0.10488951104889511,0.11949437967595646,False,False
1,BRD-A22769835-300-05-7,0.13595806563208987,"[30, 119, 155, 327]",0.0201979802019798,0.02931964868029326,True,True
2,BRD-A53576514-048-02-8,0.02319349333733894,"[36, 62, 219, 287]",0.22607739226077392,0.23937606239376064,False,False
3,BRD-A87435144-001-01-6,0.45493397770548294,"[11, 261, 316, 332]",0.00029997000299970003,0.0007499250074992501,True,True
4,BRD-K00818915-001-02-9,0.17299956557469415,"[67, 85, 90, 143]",0.016998300169983,0.027318696701758394,True,True
5,BRD-K01826510-001-09-9,0.05827022634146117,"[13, 79, 238, 307]",0.06509349065093491,0.07510787382800181,False,False
6,BRD-K02965346-001-01-8,1.0,"[8, 26, 190, 300]",9.999000099990002e-05,0.0003333000033330001,True,True
7,BRD-K03063480-001-08-9,0.6081349206349207,"[86, 107, 180, 245]",9.999000099990002e-05,0.0003333000033330001,True,True
8,BRD-K04923131-001-17-9,1.0,"[95, 175, 242, 302]",9.999000099990002e-05,0.0003333000033330001,True,True
9,BRD-K06182768-001-02-3,0.029367090565997834,"[15, 140, 170, 311]",0.1643835616438356,0.1782472355174121,False,False
10,BRD-K06883221-001-02-9,0.033034919092247934,"[32, 206, 283, 326]",0.1396860313968603,0.15331393689899303,False,False
11,BRD-K09372874-001-02-9,0.48816312810336715,"[14, 40, 108, 303]",0.00019998000199980003,0.0005624437556244375,True,True
12,BRD-K12511835-003-03-9,0.6719047619047619,"[187, 205, 273, 294]",9.999000099990002e-05,0.0003333000033330001,True,True
13,BRD-K12737986-001-01-4,0.06265640453290983,"[121, 207, 284, 328]",0.059194080591940805,0.07009825333256148,False,False
14,BRD-K13094524-001-10-9,0.47025688649278874,"[99, 174, 334, 357]",0.00029997000299970003,0.0007499250074992501,True,True
15,BRD-K13606314-001-02-9,0.01673110456896436,"[5, 126, 191, 352]",0.35376462353764626,0.3618047286180473,False,False
16,BRD-K16189898-001-26-9,0.656160223405952,"[45, 112, 148, 168]",9.999000099990002e-05,0.0003333000033330001,True,True
