,Metadata_broad_sample,mean_average_precision,indices,p_value,corrected_p_value,below_p,below_corrected_p
0,BRD-A12994259-001-11-9,0.16740895413496032,"[77, 162, 222, 339]",0.48385161483851613,0.5060976660954594,False,False
1,BRD-A22769835-300-05-7,0.5953252765752766,"[32, 127, 165, 348]",0.0201979802019798,0.040844804408448045,True,True
2,BRD-A53576514-048-02-8,0.18648809523809523,"[38, 67, 233, 306]",0.4146585341465853,0.46016983667486905,False,False
3,BRD-A87435144-001-01-6,0.507449494949495,"[11, 278, 335, 354]",0.04079592040795921,0.07424857514248576,True,False
4,BRD-K00818915-001-02-9,0.47531400966183573,"[72, 91, 96, 153]",0.05679432056794321,0.09655145596551457,False,False
5,BRD-K01826510-001-09-9,0.44109686609686616,"[13, 85, 254, 326]",0.0812918708129187,0.1320992900709929,False,False
6,BRD-K02965346-001-01-8,1.0,"[8, 28, 201, 319]",9.999000099990002e-05,0.00064993500649935,True,True
7,BRD-K03063480-001-08-9,0.9313725490196079,"[92, 114, 191, 261]",0.00039996000399960006,0.0020220200202202003,True,True
8,BRD-K04923131-001-17-9,0.9791666666666666,"[101, 186, 258, 321]",0.00039996000399960006,0.0020220200202202003,True,True
9,BRD-K06182768-001-02-3,0.22808969539232696,"[15, 150, 181, 330]",0.30186981301869814,0.35218144852181454,False,False
10,BRD-K06883221-001-02-9,0.21322089947089948,"[34, 219, 301, 346]",0.33166683331666835,0.37727102289771025,False,False
11,BRD-K09372874-001-02-9,0.5497727272727273,"[14, 43, 115, 322]",0.029597040295970403,0.05855066667246319,True,False
12,BRD-K12511835-003-03-9,0.8643939393939394,"[198, 218, 291, 313]",0.0013998600139986002,0.005095490450954904,True,True
13,BRD-K12737986-001-01-4,0.23547560970161588,"[129, 220, 302, 349]",0.28577142285771423,0.3421736773691052,False,False
14,BRD-K13094524-001-10-9,0.4273809523809524,"[105, 185, 356, 380]",0.0943905609439056,0.1506937025595686,False,False
15,BRD-K13606314-001-02-9,0.1954975918275151,"[5, 134, 202, 375]",0.38066193380661933,0.4276572342765724,False,False
16,BRD-K16189898-001-26-9,0.8571428571428572,"[49, 120, 158, 179]",0.0013998600139986002,0.005095490450954904,True,True
17,BRD-K16803204-001-02-9,0.4028966131907309,"[180, 189, 262, 355]",0.12198780121987801,0.18815067645777794,False,False
18,BRD-K17953061-001-05-1,0.7294277360066834,"[141, 292, 343, 376]",0.006999300069993001,0.02054633246352784,True,True
19,BRD-K19477839-001-10-9,0.21498316498316497,"[1, 64, 221, 362]",0.32796720327967205,0.37727102289771025,False,False
20,BRD-K19871656-001-01-3,0.5215520418693793,"[79, 98, 142, 197]",0.0364963503649635,0.06777893639207508,True,False
21,BRD-K20290250-001-03-9,0.7138125763125763,"[89, 145, 194, 272]",0.008599140085991401,0.023712780237127806,True,True
22,BRD-K21728777-001-03-9,0.6680158730158731,"[22, 132, 297, 377]",0.011698830116988301,0.028772798395836092,True,True
23,BRD-K23383398-001-08-1,0.308733164983165,"[70, 136, 143, 263]",0.1710828917108289,0.21927525557303423,False,False
24,BRD-K24600306-003-02-9,0.78125,"[41, 253, 274, 338]",0.0034996500349965005,0.010615605106156051,True,True
25,BRD-K24696047-001-03-9,1.0,"[71, 90, 93, 110]",9.999000099990002e-05,0.00064993500649935,True,True
26,BRD-K25433859-003-03-1,0.9285714285714286,"[169, 234, 298, 307]",0.00039996000399960006,0.0020220200202202003,True,True
27,BRD-K25611237-001-09-9,0.5029987373737373,"[231, 255, 334, 342]",0.0435956404359564,0.0777882996014124,True,False
28,BRD-K28936863-051-14-0,0.6129528985507247,"[65, 100, 320, 369]",0.016198380161983803,0.03350119533501195,True,True
29,BRD-K30707190-001-06-9,0.32061087061087057,"[257, 281, 318, 344]",0.16108389161083891,0.21878558412815433,False,False
30,BRD-K32730239-001-03-9,0.18084808709808708,"[118, 249, 271, 360]",0.43545645435456454,0.477428160798378,False,False
31,BRD-K33818169-003-04-6,0.33950216450216447,"[193, 232, 315, 350]",0.1483851614838516,0.2045916620459166,False,False
32,BRD-K36234266-001-10-6,0.11547833258359574,"[9, 102, 226, 383]",0.7797220277972203,0.7883856058838561,False,False
33,BRD-K37379014-001-02-0,1.0,"[63, 86, 137, 208]",9.999000099990002e-05,0.00064993500649935,True,True
34,BRD-K38627885-001-01-9,1.0,"[20, 161, 238, 273]",9.999000099990002e-05,0.00064993500649935,True,True
35,BRD-K39520573-001-01-2,0.44154537089319695,"[60, 167, 174, 265]",0.07979202079792021,0.13201952532019526,False,False
36,BRD-K39974922-001-05-9,0.8348214285714286,"[73, 97, 172, 206]",0.0013998600139986002,0.005095490450954904,True,True
37,BRD-K44227013-001-15-9,1.0,"[88, 103, 283, 294]",9.999000099990002e-05,0.00064993500649935,True,True
38,BRD-K45909031-001-03-9,1.0,"[19, 31, 176, 214]",9.999000099990002e-05,0.00064993500649935,True,True
39,BRD-K49669041-001-10-9,0.6372015022015022,"[17, 47, 76, 164]",0.013898610138986101,0.030848134698725247,True,True
40,BRD-K50055394-001-04-9,0.47342908902691505,"[75, 168, 260, 299]",0.05729427057294271,0.09655145596551457,False,False
41,BRD-K53665955-001-05-9,0.31316088738689357,"[148, 205, 316, 373]",0.16768323167683233,0.21927525557303423,False,False
42,BRD-K53972329-001-12-9,0.24328541828541828,"[16, 170, 177, 195]",0.26987301269873015,0.3274459220744593,False,False
