Metadata_broad_sample,mean_average_precision,indices,p_value,corrected_p_value,below_p,below_corrected_p
BRD-A12994259-001-11-9,0.029197876697516237,"[72, 152, 209, 319]",0.1608839116088391,0.1744524342746448,False,False
BRD-A22769835-300-05-7,0.24722166055063902,"[30, 119, 155, 327]",0.0081991800819918,0.0173982601739826,True,True
BRD-A53576514-048-02-8,0.04631168805591456,"[36, 62, 219, 287]",0.08549145085491451,0.10258974102589741,False,False
BRD-A87435144-001-01-6,0.13883874810427727,"[11, 261, 316, 332]",0.020597940205979402,0.03196232100927838,True,True
BRD-K00818915-001-02-9,0.05015507445211316,"[67, 85, 90, 143]",0.0770922907709229,0.09686531346865314,False,False
BRD-K01826510-001-09-9,0.15614330738874024,"[13, 79, 238, 307]",0.019498050194980503,0.03094427399365327,True,True
BRD-K02965346-001-01-8,1.0,"[8, 26, 190, 300]",9.999000099990002e-05,0.0004499550044995501,True,True
BRD-K03063480-001-08-9,0.5986036952284092,"[86, 107, 180, 245]",0.00019998000199980003,0.0006922384684608464,True,True
BRD-K04923131-001-17-9,0.927536231884058,"[95, 175, 242, 302]",9.999000099990002e-05,0.0004499550044995501,True,True
BRD-K06182768-001-02-3,0.09711679853350676,"[15, 140, 170, 311]",0.0327967203279672,0.043936782792309004,True,True
BRD-K06883221-001-02-9,0.04856407589486244,"[32, 206, 283, 326]",0.08049195080491951,0.09923665167729803,False,False
BRD-K09372874-001-02-9,0.1253287448425763,"[14, 40, 108, 303]",0.023297670232976703,0.035270666481738926,True,True
BRD-K12511835-003-03-9,0.8020451770451771,"[187, 205, 273, 294]",9.999000099990002e-05,0.0004499550044995501,True,True
BRD-K12737986-001-01-4,0.04664596295330638,"[121, 207, 284, 328]",0.08499150084991501,0.10258974102589741,False,False
BRD-K13094524-001-10-9,0.2739282133947468,"[99, 174, 334, 357]",0.008099190080991902,0.0173982601739826,True,True
BRD-K13606314-001-02-9,0.03885425943660361,"[5, 126, 191, 352]",0.10798920107989202,0.1238230607319015,False,False
BRD-K16189898-001-26-9,0.461683002667031,"[45, 112, 148, 168]",0.00019998000199980003,0.0006922384684608464,True,True
BRD-K16803204-001-02-9,0.2888695339531528,"[169, 178, 246, 333]",0.007999200079992,0.0173982601739826,True,True
BRD-K17953061-001-05-1,0.552561618854146,"[132, 274, 323, 353]",9.999000099990002e-05,0.0004499550044995501,True,True
BRD-K19477839-001-10-9,0.018788038944572087,"[1, 59, 208, 340]",0.2953704629537046,0.30555565133141854,False,False
BRD-K19871656-001-01-3,0.3673721119149709,"[74, 92, 133, 186]",0.0011998800119988001,0.0037237655544790347,True,True
BRD-K20290250-001-03-9,0.4195176670457103,"[83, 136, 183, 255]",0.0005999400059994001,0.001999800019998,True,True
BRD-K21728777-001-03-9,0.3477979047021281,"[21, 124, 279, 354]",0.0026997300269973002,0.007837925884830873,True,True
BRD-K23383398-001-08-1,0.15803309934545573,"[65, 128, 134, 247]",0.019498050194980503,0.03094427399365327,True,True
BRD-K24600306-003-02-9,0.5031600109044265,"[38, 237, 257, 318]",0.00019998000199980003,0.0006922384684608464,True,True
BRD-K24696047-001-03-9,1.0,"[66, 84, 87, 103]",9.999000099990002e-05,0.0004499550044995501,True,True
BRD-K25433859-003-03-1,0.365741833155392,"[159, 220, 280, 288]",0.0013998600139986002,0.004199580041995801,True,True
