Metadata_Well,Standard CP,CP + MitoBrilliant,CP + Phenovue phalloidin 400LS,Standard CP (exposed to ChromaLive),ChromaLive + Hoechst
A01,3121,3456,3361,3093,3219
A02,3804,4102,4012,3539,3824
A03,3766,3903,4048,3567,3838
A04,2922,3304,3239,2711,2768
A05,3971,4045,3955,3502,3722
A06,3679,3820,4259,3461,3753
A07,3803,3885,3951,3422,3915
A08,3750,4033,3872,3844,4082
A09,1840,1876,1812,1788,1770
A10,3559,3727,3899,3552,3720
A11,2287,2688,2432,2343,2286
A12,3643,3794,3795,3310,3048
A13,2727,3161,3019,2818,2691
A14,3736,4106,3906,3630,4009
A15,1319,1343,1351,1480,1508
A16,3495,3969,3941,3283,3829
A17,3905,3974,4264,3319,3855
A18,1102,1124,1060,1426,1444
A19,3770,3983,4128,3783,3911
A20,3162,3337,3560,3295,3136
A21,2225,2386,2536,2392,2301
A22,4096,4111,4080,3495,3999
A23,707,748,724,913,932
A24,590,633,586,592,815
B01,3965,4144,4190,3809,4050
B02,4746,4629,4605,4529,3867
B03,4392,4735,4619,3944,4555
B04,3175,3305,3232,2901,3036
B05,1858,1935,2001,2047,2090
B06,3970,4060,4240,3900,3727
B07,3980,4074,4062,3598,3600
B08,3413,3580,3461,3184,3579
B09,3740,4051,4048,3518,3951
B10,1185,1296,1288,1472,1421
B11,3838,4192,3971,3813,3918
B12,4082,4218,4242,4006,4227
B13,2818,2787,2699,2510,2744
B14,3540,3727,3780,3390,3701
B15,3960,4067,4107,3901,3994
B16,4002,4237,4441,3949,4168
B17,2643,2934,2721,2815,2427
B18,4153,4084,3910,3881,4026
B19,58,42,58,84,412
B20,1353,1455,1414,1550,1616
B21,3880,4190,3909,3548,3853
B22,520,413,403,520,610
B23,4144,4275,4472,3847,4273
B24,1173,1162,1038,1470,1180
C01,168,174,147,231,236
C02,3425,3404,3564,3379,3388
C03,66,47,40,112,348
C04,3930,3934,3924,3755,3721
C05,3852,4265,4138,3864,4178
C06,4086,3941,4385,3644,4080
C07,214,220,179,198,489
C08,2078,2098,2100,2277,2337
C09,3861,3989,4388,3687,4170
