,Standard CP,CP + MitoBrilliant,CP + Phenovue phalloidin 400LS,Standard CP (exposed to ChromaLive),ChromaLive + Hoechst
0.05,66.66666666666666,67.77777777777779,64.44444444444444,65.55555555555556,64.44444444444444
0.01,63.33333333333333,62.22222222222222,60.0,56.666666666666664,45.55555555555556
0.005,61.111111111111114,61.111111111111114,58.88888888888889,53.333333333333336,40.0
0.001,53.333333333333336,51.11111111111111,46.666666666666664,45.55555555555556,28.888888888888886
