,Standard CP,CP + MitoBrilliant,CP + Phenovue phalloidin 400LS,Standard CP (exposed to ChromaLive),ChromaLive + Hoechst
0.05,72.22222222222221,70,72.22222222222221,68.88888888888889,80
0.01,50,52.22222222222223,50,47.77777777777778,44.44444444444444
0.005,50,51.11111111111111,50,46.666666666666664,44.44444444444444
0.001,48.888888888888886,42.22222222222222,50,46.666666666666664,37.77777777777778
